"QueueRank","Candidate","CandidateRank","Role","SourceType","Phase","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","SourceSha256","RunLabel","LiquidityLookbackBars","MinimumBodyPercent","UsePostLossQuarantine","PostLossQuarantineDays","RiskPercent","EntryStartHour","EntryEndHour","StopRule"
"1","tlr_control_q0","1","control","independent_m15_trend_liquidity_reclaim","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\001_tlr_control_q0_older_2015_2018_m1.ini","tlr_control_q0_older_2015_2018_m1","profiles\tlr_control_q0.set","6AAA9841769D800349E3146A682556C45170F163F82CC16642489F6948FE3ABC","67167ACC0BFEA04357EE17195C30320342DEE0D566F2C94E01CC1BF521F26002","trend_liquidity_reclaim_discovery_model1","12","20.0","false","0","0.10","9","11","Pre-2021 only: the 14-day center, a quarantine neighbor, and a body/lookback neighbor must pass exact identity, era, PF, activity, DD, payoff, and return-efficiency gates before recent data opens."
"2","tlr_control_q0","1","control","independent_m15_trend_liquidity_reclaim","discovery_model1","repair_2019","2019.01.01","2019.12.31","1","10000","configs\002_tlr_control_q0_repair_2019_m1.ini","tlr_control_q0_repair_2019_m1","profiles\tlr_control_q0.set","6AAA9841769D800349E3146A682556C45170F163F82CC16642489F6948FE3ABC","67167ACC0BFEA04357EE17195C30320342DEE0D566F2C94E01CC1BF521F26002","trend_liquidity_reclaim_discovery_model1","12","20.0","false","0","0.10","9","11","Pre-2021 only: the 14-day center, a quarantine neighbor, and a body/lookback neighbor must pass exact identity, era, PF, activity, DD, payoff, and return-efficiency gates before recent data opens."
"3","tlr_control_q0","1","control","independent_m15_trend_liquidity_reclaim","discovery_model1","repair_2020","2020.01.01","2020.12.31","1","10000","configs\003_tlr_control_q0_repair_2020_m1.ini","tlr_control_q0_repair_2020_m1","profiles\tlr_control_q0.set","6AAA9841769D800349E3146A682556C45170F163F82CC16642489F6948FE3ABC","67167ACC0BFEA04357EE17195C30320342DEE0D566F2C94E01CC1BF521F26002","trend_liquidity_reclaim_discovery_model1","12","20.0","false","0","0.10","9","11","Pre-2021 only: the 14-day center, a quarantine neighbor, and a body/lookback neighbor must pass exact identity, era, PF, activity, DD, payoff, and return-efficiency gates before recent data opens."
"4","tlr_control_q0","1","control","independent_m15_trend_liquidity_reclaim","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\004_tlr_control_q0_continuous_2015_2020_m1.ini","tlr_control_q0_continuous_2015_2020_m1","profiles\tlr_control_q0.set","6AAA9841769D800349E3146A682556C45170F163F82CC16642489F6948FE3ABC","67167ACC0BFEA04357EE17195C30320342DEE0D566F2C94E01CC1BF521F26002","trend_liquidity_reclaim_discovery_model1","12","20.0","false","0","0.10","9","11","Pre-2021 only: the 14-day center, a quarantine neighbor, and a body/lookback neighbor must pass exact identity, era, PF, activity, DD, payoff, and return-efficiency gates before recent data opens."
"5","tlr_center_q14","2","center","independent_m15_trend_liquidity_reclaim","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\005_tlr_center_q14_older_2015_2018_m1.ini","tlr_center_q14_older_2015_2018_m1","profiles\tlr_center_q14.set","71AD962F32C61A6DC9AFB2F5903939E2309F4312BCD4B5CC901A2CC787A12D46","67167ACC0BFEA04357EE17195C30320342DEE0D566F2C94E01CC1BF521F26002","trend_liquidity_reclaim_discovery_model1","12","20.0","true","14","0.10","9","11","Pre-2021 only: the 14-day center, a quarantine neighbor, and a body/lookback neighbor must pass exact identity, era, PF, activity, DD, payoff, and return-efficiency gates before recent data opens."
"6","tlr_center_q14","2","center","independent_m15_trend_liquidity_reclaim","discovery_model1","repair_2019","2019.01.01","2019.12.31","1","10000","configs\006_tlr_center_q14_repair_2019_m1.ini","tlr_center_q14_repair_2019_m1","profiles\tlr_center_q14.set","71AD962F32C61A6DC9AFB2F5903939E2309F4312BCD4B5CC901A2CC787A12D46","67167ACC0BFEA04357EE17195C30320342DEE0D566F2C94E01CC1BF521F26002","trend_liquidity_reclaim_discovery_model1","12","20.0","true","14","0.10","9","11","Pre-2021 only: the 14-day center, a quarantine neighbor, and a body/lookback neighbor must pass exact identity, era, PF, activity, DD, payoff, and return-efficiency gates before recent data opens."
"7","tlr_center_q14","2","center","independent_m15_trend_liquidity_reclaim","discovery_model1","repair_2020","2020.01.01","2020.12.31","1","10000","configs\007_tlr_center_q14_repair_2020_m1.ini","tlr_center_q14_repair_2020_m1","profiles\tlr_center_q14.set","71AD962F32C61A6DC9AFB2F5903939E2309F4312BCD4B5CC901A2CC787A12D46","67167ACC0BFEA04357EE17195C30320342DEE0D566F2C94E01CC1BF521F26002","trend_liquidity_reclaim_discovery_model1","12","20.0","true","14","0.10","9","11","Pre-2021 only: the 14-day center, a quarantine neighbor, and a body/lookback neighbor must pass exact identity, era, PF, activity, DD, payoff, and return-efficiency gates before recent data opens."
"8","tlr_center_q14","2","center","independent_m15_trend_liquidity_reclaim","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\008_tlr_center_q14_continuous_2015_2020_m1.ini","tlr_center_q14_continuous_2015_2020_m1","profiles\tlr_center_q14.set","71AD962F32C61A6DC9AFB2F5903939E2309F4312BCD4B5CC901A2CC787A12D46","67167ACC0BFEA04357EE17195C30320342DEE0D566F2C94E01CC1BF521F26002","trend_liquidity_reclaim_discovery_model1","12","20.0","true","14","0.10","9","11","Pre-2021 only: the 14-day center, a quarantine neighbor, and a body/lookback neighbor must pass exact identity, era, PF, activity, DD, payoff, and return-efficiency gates before recent data opens."
"9","tlr_q07","3","quarantine_neighbor","independent_m15_trend_liquidity_reclaim","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\009_tlr_q07_older_2015_2018_m1.ini","tlr_q07_older_2015_2018_m1","profiles\tlr_q07.set","EBE2468B330C2F508116A146961070799F734684158AD76411A9DD83B15D11B6","67167ACC0BFEA04357EE17195C30320342DEE0D566F2C94E01CC1BF521F26002","trend_liquidity_reclaim_discovery_model1","12","20.0","true","7","0.10","9","11","Pre-2021 only: the 14-day center, a quarantine neighbor, and a body/lookback neighbor must pass exact identity, era, PF, activity, DD, payoff, and return-efficiency gates before recent data opens."
"10","tlr_q07","3","quarantine_neighbor","independent_m15_trend_liquidity_reclaim","discovery_model1","repair_2019","2019.01.01","2019.12.31","1","10000","configs\010_tlr_q07_repair_2019_m1.ini","tlr_q07_repair_2019_m1","profiles\tlr_q07.set","EBE2468B330C2F508116A146961070799F734684158AD76411A9DD83B15D11B6","67167ACC0BFEA04357EE17195C30320342DEE0D566F2C94E01CC1BF521F26002","trend_liquidity_reclaim_discovery_model1","12","20.0","true","7","0.10","9","11","Pre-2021 only: the 14-day center, a quarantine neighbor, and a body/lookback neighbor must pass exact identity, era, PF, activity, DD, payoff, and return-efficiency gates before recent data opens."
