"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","SourceSha256","SignalTimeframe","MinimumInsideRangeRatio","MaximumInsideRangeRatio","BreakoutBufferATR","MinimumBodyPercent","MinimumVolumeRatio","EMAFilter","ADXFilter","TakeProfitR","StopRule"
"1","idb_center","1","independent_m15_inside_day_breakout","1","discovery_model1","idb_center.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\001_idb_center_older_2015_2018_m1.ini","idb_center_older_2015_2018_m1","profiles\idb_center.set","BF3464984E90126F94613BD3BA69EDD142E446BD031720D7F3A2871A949D76D9","534D767F2B04A0ADB3ECC6C121CAEF6A3FB26652ACFE26C64EA45F146E67B427","15","0.25","0.75","0.05","40.0","1.00","true","false","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"3","idb_center","1","independent_m15_inside_day_breakout","1","discovery_model1","idb_center.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\002_idb_center_discovery_2019_2020_m1.ini","idb_center_discovery_2019_2020_m1","profiles\idb_center.set","BF3464984E90126F94613BD3BA69EDD142E446BD031720D7F3A2871A949D76D9","534D767F2B04A0ADB3ECC6C121CAEF6A3FB26652ACFE26C64EA45F146E67B427","15","0.25","0.75","0.05","40.0","1.00","true","false","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"4","idb_center","1","independent_m15_inside_day_breakout","1","discovery_model1","idb_center.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\003_idb_center_continuous_2015_2020_m1.ini","idb_center_continuous_2015_2020_m1","profiles\idb_center.set","BF3464984E90126F94613BD3BA69EDD142E446BD031720D7F3A2871A949D76D9","534D767F2B04A0ADB3ECC6C121CAEF6A3FB26652ACFE26C64EA45F146E67B427","15","0.25","0.75","0.05","40.0","1.00","true","false","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"6","idb_ratio065","2","independent_m15_inside_day_breakout","1","discovery_model1","idb_ratio065.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\004_idb_ratio065_older_2015_2018_m1.ini","idb_ratio065_older_2015_2018_m1","profiles\idb_ratio065.set","5F088E13F0E4E02473963FE917B30C4866EB9909E3DA7AAB27D9B2976E540C10","534D767F2B04A0ADB3ECC6C121CAEF6A3FB26652ACFE26C64EA45F146E67B427","15","0.25","0.65","0.05","40.0","1.00","true","false","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"7","idb_ratio065","2","independent_m15_inside_day_breakout","1","discovery_model1","idb_ratio065.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\005_idb_ratio065_discovery_2019_2020_m1.ini","idb_ratio065_discovery_2019_2020_m1","profiles\idb_ratio065.set","5F088E13F0E4E02473963FE917B30C4866EB9909E3DA7AAB27D9B2976E540C10","534D767F2B04A0ADB3ECC6C121CAEF6A3FB26652ACFE26C64EA45F146E67B427","15","0.25","0.65","0.05","40.0","1.00","true","false","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"9","idb_ratio065","2","independent_m15_inside_day_breakout","1","discovery_model1","idb_ratio065.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\006_idb_ratio065_continuous_2015_2020_m1.ini","idb_ratio065_continuous_2015_2020_m1","profiles\idb_ratio065.set","5F088E13F0E4E02473963FE917B30C4866EB9909E3DA7AAB27D9B2976E540C10","534D767F2B04A0ADB3ECC6C121CAEF6A3FB26652ACFE26C64EA45F146E67B427","15","0.25","0.65","0.05","40.0","1.00","true","false","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"10","idb_ratio085","3","independent_m15_inside_day_breakout","1","discovery_model1","idb_ratio085.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\007_idb_ratio085_older_2015_2018_m1.ini","idb_ratio085_older_2015_2018_m1","profiles\idb_ratio085.set","49B8FC48FB8111D19053036B4F1C7EB0A5E5B6E4DB97CAB1B61B5E37490A0C28","534D767F2B04A0ADB3ECC6C121CAEF6A3FB26652ACFE26C64EA45F146E67B427","15","0.25","0.85","0.05","40.0","1.00","true","false","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"12","idb_ratio085","3","independent_m15_inside_day_breakout","1","discovery_model1","idb_ratio085.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\008_idb_ratio085_discovery_2019_2020_m1.ini","idb_ratio085_discovery_2019_2020_m1","profiles\idb_ratio085.set","49B8FC48FB8111D19053036B4F1C7EB0A5E5B6E4DB97CAB1B61B5E37490A0C28","534D767F2B04A0ADB3ECC6C121CAEF6A3FB26652ACFE26C64EA45F146E67B427","15","0.25","0.85","0.05","40.0","1.00","true","false","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"13","idb_ratio085","3","independent_m15_inside_day_breakout","1","discovery_model1","idb_ratio085.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\009_idb_ratio085_continuous_2015_2020_m1.ini","idb_ratio085_continuous_2015_2020_m1","profiles\idb_ratio085.set","49B8FC48FB8111D19053036B4F1C7EB0A5E5B6E4DB97CAB1B61B5E37490A0C28","534D767F2B04A0ADB3ECC6C121CAEF6A3FB26652ACFE26C64EA45F146E67B427","15","0.25","0.85","0.05","40.0","1.00","true","false","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"15","idb_minratio015","4","independent_m15_inside_day_breakout","1","discovery_model1","idb_minratio015.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\010_idb_minratio015_older_2015_2018_m1.ini","idb_minratio015_older_2015_2018_m1","profiles\idb_minratio015.set","AB44B1F7D7118CC62CBE78D0F20B905AEAB8A022336EDD71AF28B9A657B15ABD","534D767F2B04A0ADB3ECC6C121CAEF6A3FB26652ACFE26C64EA45F146E67B427","15","0.15","0.75","0.05","40.0","1.00","true","false","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"16","idb_minratio015","4","independent_m15_inside_day_breakout","1","discovery_model1","idb_minratio015.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\011_idb_minratio015_discovery_2019_2020_m1.ini","idb_minratio015_discovery_2019_2020_m1","profiles\idb_minratio015.set","AB44B1F7D7118CC62CBE78D0F20B905AEAB8A022336EDD71AF28B9A657B15ABD","534D767F2B04A0ADB3ECC6C121CAEF6A3FB26652ACFE26C64EA45F146E67B427","15","0.15","0.75","0.05","40.0","1.00","true","false","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"18","idb_minratio015","4","independent_m15_inside_day_breakout","1","discovery_model1","idb_minratio015.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\012_idb_minratio015_continuous_2015_2020_m1.ini","idb_minratio015_continuous_2015_2020_m1","profiles\idb_minratio015.set","AB44B1F7D7118CC62CBE78D0F20B905AEAB8A022336EDD71AF28B9A657B15ABD","534D767F2B04A0ADB3ECC6C121CAEF6A3FB26652ACFE26C64EA45F146E67B427","15","0.15","0.75","0.05","40.0","1.00","true","false","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"19","idb_buffer000","5","independent_m15_inside_day_breakout","1","discovery_model1","idb_buffer000.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\013_idb_buffer000_older_2015_2018_m1.ini","idb_buffer000_older_2015_2018_m1","profiles\idb_buffer000.set","02F617223C1306F79359CDAE58A609E6815D13C7365F1D2E66DBB1AD035D3DDB","534D767F2B04A0ADB3ECC6C121CAEF6A3FB26652ACFE26C64EA45F146E67B427","15","0.25","0.75","0.00","40.0","1.00","true","false","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"21","idb_buffer000","5","independent_m15_inside_day_breakout","1","discovery_model1","idb_buffer000.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\014_idb_buffer000_discovery_2019_2020_m1.ini","idb_buffer000_discovery_2019_2020_m1","profiles\idb_buffer000.set","02F617223C1306F79359CDAE58A609E6815D13C7365F1D2E66DBB1AD035D3DDB","534D767F2B04A0ADB3ECC6C121CAEF6A3FB26652ACFE26C64EA45F146E67B427","15","0.25","0.75","0.00","40.0","1.00","true","false","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"22","idb_buffer000","5","independent_m15_inside_day_breakout","1","discovery_model1","idb_buffer000.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\015_idb_buffer000_continuous_2015_2020_m1.ini","idb_buffer000_continuous_2015_2020_m1","profiles\idb_buffer000.set","02F617223C1306F79359CDAE58A609E6815D13C7365F1D2E66DBB1AD035D3DDB","534D767F2B04A0ADB3ECC6C121CAEF6A3FB26652ACFE26C64EA45F146E67B427","15","0.25","0.75","0.00","40.0","1.00","true","false","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
