"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","StopRule","Purpose"
"1","r10_base","1","peak_r20_oos_yearly","1","phase2_oos_yearly_model1","r10_base.set","2019_full","2019.01.01","2019.12.31","1","configs\001_r10_base_2019_full_m1.ini","peak_r20_oos_r10_base_2019_full_m1","profiles\r10_base.set","88CBC2C42EC5C591966A77F0F4CD25D1942220D4195A771504ACCC3DDC7DDB9E","Reject money-ready claims if older/yearly windows are red, too sparse, or show unstable drawdown/profit quality.","Older and year-by-year validation to avoid trusting only 2024-2026 seen research data."
"2","r10_base","2","peak_r20_oos_yearly","2","phase2_oos_yearly_model1","r10_base.set","2020_full","2020.01.01","2020.12.31","1","configs\002_r10_base_2020_full_m1.ini","peak_r20_oos_r10_base_2020_full_m1","profiles\r10_base.set","88CBC2C42EC5C591966A77F0F4CD25D1942220D4195A771504ACCC3DDC7DDB9E","Reject money-ready claims if older/yearly windows are red, too sparse, or show unstable drawdown/profit quality.","Older and year-by-year validation to avoid trusting only 2024-2026 seen research data."
"3","r10_base","3","peak_r20_oos_yearly","3","phase2_oos_yearly_model1","r10_base.set","2021_full","2021.01.01","2021.12.31","1","configs\003_r10_base_2021_full_m1.ini","peak_r20_oos_r10_base_2021_full_m1","profiles\r10_base.set","88CBC2C42EC5C591966A77F0F4CD25D1942220D4195A771504ACCC3DDC7DDB9E","Reject money-ready claims if older/yearly windows are red, too sparse, or show unstable drawdown/profit quality.","Older and year-by-year validation to avoid trusting only 2024-2026 seen research data."
"4","r10_base","4","peak_r20_oos_yearly","4","phase2_oos_yearly_model1","r10_base.set","2022_full","2022.01.01","2022.12.31","1","configs\004_r10_base_2022_full_m1.ini","peak_r20_oos_r10_base_2022_full_m1","profiles\r10_base.set","88CBC2C42EC5C591966A77F0F4CD25D1942220D4195A771504ACCC3DDC7DDB9E","Reject money-ready claims if older/yearly windows are red, too sparse, or show unstable drawdown/profit quality.","Older and year-by-year validation to avoid trusting only 2024-2026 seen research data."
"5","r10_base","5","peak_r20_oos_yearly","5","phase2_oos_yearly_model1","r10_base.set","2023_full","2023.01.01","2023.12.31","1","configs\005_r10_base_2023_full_m1.ini","peak_r20_oos_r10_base_2023_full_m1","profiles\r10_base.set","88CBC2C42EC5C591966A77F0F4CD25D1942220D4195A771504ACCC3DDC7DDB9E","Reject money-ready claims if older/yearly windows are red, too sparse, or show unstable drawdown/profit quality.","Older and year-by-year validation to avoid trusting only 2024-2026 seen research data."
"6","r10_base","6","peak_r20_oos_yearly","6","phase2_oos_yearly_model1","r10_base.set","2024_full","2024.01.01","2024.12.31","1","configs\006_r10_base_2024_full_m1.ini","peak_r20_oos_r10_base_2024_full_m1","profiles\r10_base.set","88CBC2C42EC5C591966A77F0F4CD25D1942220D4195A771504ACCC3DDC7DDB9E","Reject money-ready claims if older/yearly windows are red, too sparse, or show unstable drawdown/profit quality.","Older and year-by-year validation to avoid trusting only 2024-2026 seen research data."
"7","r10_base","7","peak_r20_oos_yearly","7","phase2_oos_yearly_model1","r10_base.set","2025_full","2025.01.01","2025.12.31","1","configs\007_r10_base_2025_full_m1.ini","peak_r20_oos_r10_base_2025_full_m1","profiles\r10_base.set","88CBC2C42EC5C591966A77F0F4CD25D1942220D4195A771504ACCC3DDC7DDB9E","Reject money-ready claims if older/yearly windows are red, too sparse, or show unstable drawdown/profit quality.","Older and year-by-year validation to avoid trusting only 2024-2026 seen research data."
"8","r10_base","8","peak_r20_oos_yearly","8","phase2_oos_yearly_model1","r10_base.set","2026_ytd","2026.01.01","2026.07.12","1","configs\008_r10_base_2026_ytd_m1.ini","peak_r20_oos_r10_base_2026_ytd_m1","profiles\r10_base.set","88CBC2C42EC5C591966A77F0F4CD25D1942220D4195A771504ACCC3DDC7DDB9E","Reject money-ready claims if older/yearly windows are red, too sparse, or show unstable drawdown/profit quality.","Older and year-by-year validation to avoid trusting only 2024-2026 seen research data."
"9","r10_loss_scale_15","9","peak_r20_oos_yearly","9","phase2_oos_yearly_model1","r10_loss_scale_15.set","2019_full","2019.01.01","2019.12.31","1","configs\009_r10_loss_scale_15_2019_full_m1.ini","peak_r20_oos_r10_loss_scale_15_2019_full_m1","profiles\r10_loss_scale_15.set","CBACFF055A796C46779E707281728BA525C8B59AB55168025BE05DAE80AB86F5","Reject money-ready claims if older/yearly windows are red, too sparse, or show unstable drawdown/profit quality.","Older and year-by-year validation to avoid trusting only 2024-2026 seen research data."
"10","r10_loss_scale_15","10","peak_r20_oos_yearly","10","phase2_oos_yearly_model1","r10_loss_scale_15.set","2020_full","2020.01.01","2020.12.31","1","configs\010_r10_loss_scale_15_2020_full_m1.ini","peak_r20_oos_r10_loss_scale_15_2020_full_m1","profiles\r10_loss_scale_15.set","CBACFF055A796C46779E707281728BA525C8B59AB55168025BE05DAE80AB86F5","Reject money-ready claims if older/yearly windows are red, too sparse, or show unstable drawdown/profit quality.","Older and year-by-year validation to avoid trusting only 2024-2026 seen research data."
