"Candidate","Profile","Model","Window","NetProfit","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","SharpeRatio","RecoveryFactor","MaxDrawdownPercent","TotalTrades","WinRatePercent","MaxConsecutiveLosses","Decision","Reason"
"lowatr_locked_research","outputs\CANDIDATE_LOWATR_LOCKED_RESEARCH_PROFILE.set","1","continuous_2024_2026","8437.54","843.75","","","2.8893","27.9639","2.5527","25.9387","59","","","REJECT_TRADE_READY_FAST_SCREEN","Huge profit, but drawdown is far above the 6% first-pass cap. Research-only, not trade-ready."
"lowatr_locked_risk20","outputs\CANDIDATE_LOWATR_LOCKED_RISK20_PROFILE.set","1","continuous_2024_2026","241.12","24.11","9.54","8.92","6.4039","8.3031","5.0891","3.6771","8","75","2","REJECT_FIRST_PASS_AFTER_YEARLY_SPLITS","Safer continuous result, but yearly fast split stopped on 2025 recovery factor 1.0552 below 1.25."
"lowatr_locked_risk20","outputs\CANDIDATE_LOWATR_LOCKED_RISK20_PROFILE.set","1","2024_full","241.12","24.11","24.13","24.13","6.4039","8.3031","5.0891","","8","75","2","CONTEXT","Yearly split parsed from hidden tester log."
"lowatr_locked_risk20","outputs\CANDIDATE_LOWATR_LOCKED_RISK20_PROFILE.set","1","2025_full","57.39","5.74","5.76","5.76","1.8125","4.2768","1.0552","5.31","12","","","FAIL","Recovery factor below 1.25."
"lowatr_locked_risk20","outputs\CANDIDATE_LOWATR_LOCKED_RISK20_PROFILE.set","1","2026_ytd","47.72","4.77","9.08","9.27","0","0.2667","","","2","","","CONTEXT","Positive but sparse/requires better full-report evidence."
"lowatr_locked_risk23","outputs\CANDIDATE_LOWATR_LOCKED_RISK23_PROFILE.set","1","continuous_2024_2026","288.08","28.81","11.40","10.54","6.3398","8.3604","5.0390","4.25","8","75","2","PARTIAL_ADVANCED","Continuous fast screen advanced to yearly splits, but yearly splits were not run before cleaner risk variants were tested."
"lowatr_locked_risk23pure","outputs\CANDIDATE_LOWATR_LOCKED_RISK23PURE_PROFILE.set","1","continuous_2024_2026","495.44","49.54","19.61","17.26","6.2207","6.3961","4.6363","6.6692","7","85.71","1","REJECT_FIRST_PASS","Profit improved, but drawdown exceeded the 6% first-pass cap."
"lowatr_locked_risk20pure","outputs\CANDIDATE_LOWATR_LOCKED_RISK20PURE_PROFILE.set","1","continuous_2024_2026","430.78","43.08","17.05","15.23","4.7662","7.3959","3.4601","8.01","8","75","2","REJECT_FIRST_PASS","Profit improved versus capped risk20, but drawdown exceeded the 6% first-pass cap."
"lowatr_locked_risk18pure","outputs\CANDIDATE_LOWATR_LOCKED_RISK18PURE_PROFILE.set","1","continuous_2024_2026","419.14","41.91","16.59","14.86","5.0524","7.6671","3.7366","7.3251","8","75","2","REJECT_FIRST_PASS","Still above the 6% first-pass drawdown cap; reducing risk alone did not solve drawdown enough."
"money_ready","outputs\CANDIDATE_MONEY_READY_PROFILE.set","1","continuous_2024_2026","-17.00","-1.70","-0.67","-0.68","0","-0.1294","-0.9703","1.7511","1","","","REJECT_FIRST_PASS","Broad fast screen was red."
"trade_ready_conservative","outputs\CANDIDATE_TRADE_READY_CONSERVATIVE_PROFILE.set","1","continuous_2024_2026","0.00","0.00","0.00","0.00","0","0","0","0","0","0","0","REJECT_FIRST_PASS","Over-filtered zero-trade candidate."
