"QueueRank","Candidate","CandidateRank","Role","Phase","Window","From","To","Model","Deposit","MomentumRiskPercent","ReversionRiskPercent","AdaptiveRiskPercent","FeatureEnabled","RatchetTriggerR","RatchetLockR","MaximumPortfolioOpenRiskPercent","ExpectedReportName","PackageConfig","SourceConfig","ReportDestination","ConfigSha256","ProfileSha256","SourceSha256","StopRule"
"1","mpr_control","1","disabled_control","momentum_profit_ratchet_discovery_model1","discovery_2015_2018","2015.01.01","2018.12.31","1","10000","0.15","0.45","0.15","False","1.50","0.75","0.75","mpr_control_discovery_2015_2018_m1","outputs\three_lane_momentum_profit_ratchet_discovery_model1_package\configs\001_mpr_control_discovery_2015_2018_m1.ini","outputs\three_lane_momentum_profit_ratchet_discovery_model1_package\configs\001_mpr_control_discovery_2015_2018_m1.ini","outputs\three_lane_momentum_profit_ratchet_discovery_model1_package\reports_here\mpr_control_discovery_2015_2018_m1","227C9658C2B661AFE489BCB49CAEEF570349A945DD4570EA0CE25351580A588E","F72F3AA520BA9C409DCDDB0BCAF4F55309EE436AFFA124C6604F64B6896564D4","04E9A3FA2B85090A53E7B9D769BA536693D7A590794F58AD97F926D5CB2AFAF4","Frozen retrospective discovery only. Center must be positive and no worse than control in both 2015-2018 and 2019-2020, improve continuous net by at least 3% and CAGR by 0.05 point, meet or exceed control PF/recovery/return-DD, retain at least 98% of trades, keep DD <=1.20% and <=control+0.10 point, and receive at least three of six neighbor passes. Failure closes the family without opening post-2020 data."
"2","mpr_control","1","disabled_control","momentum_profit_ratchet_discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","0.15","0.45","0.15","False","1.50","0.75","0.75","mpr_control_discovery_2019_2020_m1","outputs\three_lane_momentum_profit_ratchet_discovery_model1_package\configs\002_mpr_control_discovery_2019_2020_m1.ini","outputs\three_lane_momentum_profit_ratchet_discovery_model1_package\configs\002_mpr_control_discovery_2019_2020_m1.ini","outputs\three_lane_momentum_profit_ratchet_discovery_model1_package\reports_here\mpr_control_discovery_2019_2020_m1","72B1F88E4E4DC5C8306FAA413A3A8C7CB904AF70AF7C63B9D2410214446D3EBA","F72F3AA520BA9C409DCDDB0BCAF4F55309EE436AFFA124C6604F64B6896564D4","04E9A3FA2B85090A53E7B9D769BA536693D7A590794F58AD97F926D5CB2AFAF4","Frozen retrospective discovery only. Center must be positive and no worse than control in both 2015-2018 and 2019-2020, improve continuous net by at least 3% and CAGR by 0.05 point, meet or exceed control PF/recovery/return-DD, retain at least 98% of trades, keep DD <=1.20% and <=control+0.10 point, and receive at least three of six neighbor passes. Failure closes the family without opening post-2020 data."
"3","mpr_control","1","disabled_control","momentum_profit_ratchet_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","0.15","0.45","0.15","False","1.50","0.75","0.75","mpr_control_continuous_2015_2020_m1","outputs\three_lane_momentum_profit_ratchet_discovery_model1_package\configs\003_mpr_control_continuous_2015_2020_m1.ini","outputs\three_lane_momentum_profit_ratchet_discovery_model1_package\configs\003_mpr_control_continuous_2015_2020_m1.ini","outputs\three_lane_momentum_profit_ratchet_discovery_model1_package\reports_here\mpr_control_continuous_2015_2020_m1","BED737CF13AD130D2223716ABFFC94E3744950FB21CA9073FA0D9701C18EF495","F72F3AA520BA9C409DCDDB0BCAF4F55309EE436AFFA124C6604F64B6896564D4","04E9A3FA2B85090A53E7B9D769BA536693D7A590794F58AD97F926D5CB2AFAF4","Frozen retrospective discovery only. Center must be positive and no worse than control in both 2015-2018 and 2019-2020, improve continuous net by at least 3% and CAGR by 0.05 point, meet or exceed control PF/recovery/return-DD, retain at least 98% of trades, keep DD <=1.20% and <=control+0.10 point, and receive at least three of six neighbor passes. Failure closes the family without opening post-2020 data."
"4","mpr_trigger125","2","lower_trigger","momentum_profit_ratchet_discovery_model1","discovery_2015_2018","2015.01.01","2018.12.31","1","10000","0.15","0.45","0.15","True","1.25","0.75","0.75","mpr_trigger125_discovery_2015_2018_m1","outputs\three_lane_momentum_profit_ratchet_discovery_model1_package\configs\004_mpr_trigger125_discovery_2015_2018_m1.ini","outputs\three_lane_momentum_profit_ratchet_discovery_model1_package\configs\004_mpr_trigger125_discovery_2015_2018_m1.ini","outputs\three_lane_momentum_profit_ratchet_discovery_model1_package\reports_here\mpr_trigger125_discovery_2015_2018_m1","8DF7D53A5A38F15526578C11E00035D99EC7543D419D2D9FEF8DFC7CE7D91AC4","8EE968914F10B6660715A000FCBA7C5A7F351F0E797352F78326054D832E86DE","04E9A3FA2B85090A53E7B9D769BA536693D7A590794F58AD97F926D5CB2AFAF4","Frozen retrospective discovery only. Center must be positive and no worse than control in both 2015-2018 and 2019-2020, improve continuous net by at least 3% and CAGR by 0.05 point, meet or exceed control PF/recovery/return-DD, retain at least 98% of trades, keep DD <=1.20% and <=control+0.10 point, and receive at least three of six neighbor passes. Failure closes the family without opening post-2020 data."
"5","mpr_trigger125","2","lower_trigger","momentum_profit_ratchet_discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","0.15","0.45","0.15","True","1.25","0.75","0.75","mpr_trigger125_discovery_2019_2020_m1","outputs\three_lane_momentum_profit_ratchet_discovery_model1_package\configs\005_mpr_trigger125_discovery_2019_2020_m1.ini","outputs\three_lane_momentum_profit_ratchet_discovery_model1_package\configs\005_mpr_trigger125_discovery_2019_2020_m1.ini","outputs\three_lane_momentum_profit_ratchet_discovery_model1_package\reports_here\mpr_trigger125_discovery_2019_2020_m1","47F9EC825F17C2779C79F619B3DAFC83348F1BDCC5261FBABA706FCE4B359350","8EE968914F10B6660715A000FCBA7C5A7F351F0E797352F78326054D832E86DE","04E9A3FA2B85090A53E7B9D769BA536693D7A590794F58AD97F926D5CB2AFAF4","Frozen retrospective discovery only. Center must be positive and no worse than control in both 2015-2018 and 2019-2020, improve continuous net by at least 3% and CAGR by 0.05 point, meet or exceed control PF/recovery/return-DD, retain at least 98% of trades, keep DD <=1.20% and <=control+0.10 point, and receive at least three of six neighbor passes. Failure closes the family without opening post-2020 data."
"6","mpr_trigger125","2","lower_trigger","momentum_profit_ratchet_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","0.15","0.45","0.15","True","1.25","0.75","0.75","mpr_trigger125_continuous_2015_2020_m1","outputs\three_lane_momentum_profit_ratchet_discovery_model1_package\configs\006_mpr_trigger125_continuous_2015_2020_m1.ini","outputs\three_lane_momentum_profit_ratchet_discovery_model1_package\configs\006_mpr_trigger125_continuous_2015_2020_m1.ini","outputs\three_lane_momentum_profit_ratchet_discovery_model1_package\reports_here\mpr_trigger125_continuous_2015_2020_m1","B094BEAA42D60923433F15D991B0852F0A41042A35D552BE892CECBE6ED3E3F9","8EE968914F10B6660715A000FCBA7C5A7F351F0E797352F78326054D832E86DE","04E9A3FA2B85090A53E7B9D769BA536693D7A590794F58AD97F926D5CB2AFAF4","Frozen retrospective discovery only. Center must be positive and no worse than control in both 2015-2018 and 2019-2020, improve continuous net by at least 3% and CAGR by 0.05 point, meet or exceed control PF/recovery/return-DD, retain at least 98% of trades, keep DD <=1.20% and <=control+0.10 point, and receive at least three of six neighbor passes. Failure closes the family without opening post-2020 data."
"7","mpr_center","3","center","momentum_profit_ratchet_discovery_model1","discovery_2015_2018","2015.01.01","2018.12.31","1","10000","0.15","0.45","0.15","True","1.50","0.75","0.75","mpr_center_discovery_2015_2018_m1","outputs\three_lane_momentum_profit_ratchet_discovery_model1_package\configs\007_mpr_center_discovery_2015_2018_m1.ini","outputs\three_lane_momentum_profit_ratchet_discovery_model1_package\configs\007_mpr_center_discovery_2015_2018_m1.ini","outputs\three_lane_momentum_profit_ratchet_discovery_model1_package\reports_here\mpr_center_discovery_2015_2018_m1","AF9BBB124FF46984FB0B9758C2DF51AD7169E80453DACB921389137F7169807E","98A5B8D78F595529600B65EFD333EE9D93A528378B3D30EFCAC11239894164A0","04E9A3FA2B85090A53E7B9D769BA536693D7A590794F58AD97F926D5CB2AFAF4","Frozen retrospective discovery only. Center must be positive and no worse than control in both 2015-2018 and 2019-2020, improve continuous net by at least 3% and CAGR by 0.05 point, meet or exceed control PF/recovery/return-DD, retain at least 98% of trades, keep DD <=1.20% and <=control+0.10 point, and receive at least three of six neighbor passes. Failure closes the family without opening post-2020 data."
"8","mpr_center","3","center","momentum_profit_ratchet_discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","0.15","0.45","0.15","True","1.50","0.75","0.75","mpr_center_discovery_2019_2020_m1","outputs\three_lane_momentum_profit_ratchet_discovery_model1_package\configs\008_mpr_center_discovery_2019_2020_m1.ini","outputs\three_lane_momentum_profit_ratchet_discovery_model1_package\configs\008_mpr_center_discovery_2019_2020_m1.ini","outputs\three_lane_momentum_profit_ratchet_discovery_model1_package\reports_here\mpr_center_discovery_2019_2020_m1","2E079E1D4FF722DE2DD049E57825F47797BE7AC4239C0BD95C960999912EA2AA","98A5B8D78F595529600B65EFD333EE9D93A528378B3D30EFCAC11239894164A0","04E9A3FA2B85090A53E7B9D769BA536693D7A590794F58AD97F926D5CB2AFAF4","Frozen retrospective discovery only. Center must be positive and no worse than control in both 2015-2018 and 2019-2020, improve continuous net by at least 3% and CAGR by 0.05 point, meet or exceed control PF/recovery/return-DD, retain at least 98% of trades, keep DD <=1.20% and <=control+0.10 point, and receive at least three of six neighbor passes. Failure closes the family without opening post-2020 data."
"9","mpr_center","3","center","momentum_profit_ratchet_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","0.15","0.45","0.15","True","1.50","0.75","0.75","mpr_center_continuous_2015_2020_m1","outputs\three_lane_momentum_profit_ratchet_discovery_model1_package\configs\009_mpr_center_continuous_2015_2020_m1.ini","outputs\three_lane_momentum_profit_ratchet_discovery_model1_package\configs\009_mpr_center_continuous_2015_2020_m1.ini","outputs\three_lane_momentum_profit_ratchet_discovery_model1_package\reports_here\mpr_center_continuous_2015_2020_m1","ABCB15226000F647148556C1C1C48B2DF308C550D0054ED6468A72AA1BE944E0","98A5B8D78F595529600B65EFD333EE9D93A528378B3D30EFCAC11239894164A0","04E9A3FA2B85090A53E7B9D769BA536693D7A590794F58AD97F926D5CB2AFAF4","Frozen retrospective discovery only. Center must be positive and no worse than control in both 2015-2018 and 2019-2020, improve continuous net by at least 3% and CAGR by 0.05 point, meet or exceed control PF/recovery/return-DD, retain at least 98% of trades, keep DD <=1.20% and <=control+0.10 point, and receive at least three of six neighbor passes. Failure closes the family without opening post-2020 data."
"10","mpr_trigger175","4","upper_trigger","momentum_profit_ratchet_discovery_model1","discovery_2015_2018","2015.01.01","2018.12.31","1","10000","0.15","0.45","0.15","True","1.75","0.75","0.75","mpr_trigger175_discovery_2015_2018_m1","outputs\three_lane_momentum_profit_ratchet_discovery_model1_package\configs\010_mpr_trigger175_discovery_2015_2018_m1.ini","outputs\three_lane_momentum_profit_ratchet_discovery_model1_package\configs\010_mpr_trigger175_discovery_2015_2018_m1.ini","outputs\three_lane_momentum_profit_ratchet_discovery_model1_package\reports_here\mpr_trigger175_discovery_2015_2018_m1","E12015B1D9E1B52AFDEEC837B1F795EB4769077DE72B95E116984837CFAF539E","DC80B23EC9B9DC17474EAFB24BB859C69A25C0E96C49D7F6D7981420AD0EF273","04E9A3FA2B85090A53E7B9D769BA536693D7A590794F58AD97F926D5CB2AFAF4","Frozen retrospective discovery only. Center must be positive and no worse than control in both 2015-2018 and 2019-2020, improve continuous net by at least 3% and CAGR by 0.05 point, meet or exceed control PF/recovery/return-DD, retain at least 98% of trades, keep DD <=1.20% and <=control+0.10 point, and receive at least three of six neighbor passes. Failure closes the family without opening post-2020 data."
