"QueueRank","Candidate","SourceType","Phase","Set","Window","From","To","Model","InitialDeposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","BaseProfileSha256","SourceSha256","StopRule","Rationale"
"1","sr_control","broker_risk_sizing_probe","fast_model1","sr_control.set","continuous_2019_2026","2019.01.01","2026.07.12","1","10000","configs\001_sr_control_continuous_2019_2026_m1.ini","broker_risk_sr_control_continuous_2019_2026_m1","profiles\sr_control.set","9B9DE184A534269CC80A74FB41D2939DB9BC4D1BF279F9EEDB01C7B6DE66D4D2","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","3C738B730A47A089ECE11A53EC9E726DE2E64B63E53866B9731253C5035A114C","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","Corrected-risk rebase of the supplied stability profile with standalone sweep behavior preserved."
"2","sr_control","broker_risk_sizing_probe","fast_model1","sr_control.set","2019_full","2019.01.01","2019.12.31","1","10000","configs\002_sr_control_2019_full_m1.ini","broker_risk_sr_control_2019_full_m1","profiles\sr_control.set","9B9DE184A534269CC80A74FB41D2939DB9BC4D1BF279F9EEDB01C7B6DE66D4D2","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","3C738B730A47A089ECE11A53EC9E726DE2E64B63E53866B9731253C5035A114C","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","Corrected-risk rebase of the supplied stability profile with standalone sweep behavior preserved."
"3","sr_control","broker_risk_sizing_probe","fast_model1","sr_control.set","2020_full","2020.01.01","2020.12.31","1","10000","configs\003_sr_control_2020_full_m1.ini","broker_risk_sr_control_2020_full_m1","profiles\sr_control.set","9B9DE184A534269CC80A74FB41D2939DB9BC4D1BF279F9EEDB01C7B6DE66D4D2","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","3C738B730A47A089ECE11A53EC9E726DE2E64B63E53866B9731253C5035A114C","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","Corrected-risk rebase of the supplied stability profile with standalone sweep behavior preserved."
"4","sr_control","broker_risk_sizing_probe","fast_model1","sr_control.set","2021_full","2021.01.01","2021.12.31","1","10000","configs\004_sr_control_2021_full_m1.ini","broker_risk_sr_control_2021_full_m1","profiles\sr_control.set","9B9DE184A534269CC80A74FB41D2939DB9BC4D1BF279F9EEDB01C7B6DE66D4D2","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","3C738B730A47A089ECE11A53EC9E726DE2E64B63E53866B9731253C5035A114C","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","Corrected-risk rebase of the supplied stability profile with standalone sweep behavior preserved."
"5","sr_control","broker_risk_sizing_probe","fast_model1","sr_control.set","2022_full","2022.01.01","2022.12.31","1","10000","configs\005_sr_control_2022_full_m1.ini","broker_risk_sr_control_2022_full_m1","profiles\sr_control.set","9B9DE184A534269CC80A74FB41D2939DB9BC4D1BF279F9EEDB01C7B6DE66D4D2","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","3C738B730A47A089ECE11A53EC9E726DE2E64B63E53866B9731253C5035A114C","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","Corrected-risk rebase of the supplied stability profile with standalone sweep behavior preserved."
"6","sr_control","broker_risk_sizing_probe","fast_model1","sr_control.set","2023_full","2023.01.01","2023.12.31","1","10000","configs\006_sr_control_2023_full_m1.ini","broker_risk_sr_control_2023_full_m1","profiles\sr_control.set","9B9DE184A534269CC80A74FB41D2939DB9BC4D1BF279F9EEDB01C7B6DE66D4D2","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","3C738B730A47A089ECE11A53EC9E726DE2E64B63E53866B9731253C5035A114C","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","Corrected-risk rebase of the supplied stability profile with standalone sweep behavior preserved."
"7","sr_control","broker_risk_sizing_probe","fast_model1","sr_control.set","2024_full","2024.01.01","2024.12.31","1","10000","configs\007_sr_control_2024_full_m1.ini","broker_risk_sr_control_2024_full_m1","profiles\sr_control.set","9B9DE184A534269CC80A74FB41D2939DB9BC4D1BF279F9EEDB01C7B6DE66D4D2","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","3C738B730A47A089ECE11A53EC9E726DE2E64B63E53866B9731253C5035A114C","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","Corrected-risk rebase of the supplied stability profile with standalone sweep behavior preserved."
"8","sr_control","broker_risk_sizing_probe","fast_model1","sr_control.set","2025_full","2025.01.01","2025.12.31","1","10000","configs\008_sr_control_2025_full_m1.ini","broker_risk_sr_control_2025_full_m1","profiles\sr_control.set","9B9DE184A534269CC80A74FB41D2939DB9BC4D1BF279F9EEDB01C7B6DE66D4D2","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","3C738B730A47A089ECE11A53EC9E726DE2E64B63E53866B9731253C5035A114C","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","Corrected-risk rebase of the supplied stability profile with standalone sweep behavior preserved."
"9","sr_control","broker_risk_sizing_probe","fast_model1","sr_control.set","2026_ytd","2026.01.01","2026.07.12","1","10000","configs\009_sr_control_2026_ytd_m1.ini","broker_risk_sr_control_2026_ytd_m1","profiles\sr_control.set","9B9DE184A534269CC80A74FB41D2939DB9BC4D1BF279F9EEDB01C7B6DE66D4D2","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","3C738B730A47A089ECE11A53EC9E726DE2E64B63E53866B9731253C5035A114C","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","Corrected-risk rebase of the supplied stability profile with standalone sweep behavior preserved."
"10","sr_sweep_off","broker_risk_sizing_probe","fast_model1","sr_sweep_off.set","continuous_2019_2026","2019.01.01","2026.07.12","1","10000","configs\010_sr_sweep_off_continuous_2019_2026_m1.ini","broker_risk_sr_sweep_off_continuous_2019_2026_m1","profiles\sr_sweep_off.set","43061CA1889A99403169E470BFE3826502424D995A4C74E5EB41C590F4B94600","CB182D026A62AE499052949F88F514EF7FC67D8C071E9179AB069D29575C59B2","3C738B730A47A089ECE11A53EC9E726DE2E64B63E53866B9731253C5035A114C","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","Corrected-risk rebase of the supplied stability profile with standalone sweeps disabled."
