"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","Role","From","To","Model","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","BaseProfileSha256","Thesis","Overrides","StopRule"
"11","re_may140","11","range_elite_risk_shape_probe","11","phase4_range_elite_risk_shape_model1","re_may140.set","2019_full","red_year","2019.01.01","2019.12.31","1","configs\011_re_may140_2019_full_m1.ini","re_risk_re_may140_2019_m1","profiles\re_may140.set","41A3A35650F4BA18C080F3ABE535B7FD7C3E205042D003BC393539C196793885","AD6C1D1607BD7809FFBBB25DD068A1AB18E4EE2FBC879114F6A02DBCA06D1894","Keep a smaller May opportunity boost without letting May dominate account risk.","InpMayRiskMultiplier=1.40","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"12","re_may140","12","range_elite_risk_shape_probe","12","phase4_range_elite_risk_shape_model1","re_may140.set","2021_full","red_year","2021.01.01","2021.12.31","1","configs\012_re_may140_2021_full_m1.ini","re_risk_re_may140_2021_m1","profiles\re_may140.set","41A3A35650F4BA18C080F3ABE535B7FD7C3E205042D003BC393539C196793885","AD6C1D1607BD7809FFBBB25DD068A1AB18E4EE2FBC879114F6A02DBCA06D1894","Keep a smaller May opportunity boost without letting May dominate account risk.","InpMayRiskMultiplier=1.40","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"13","re_may140","13","range_elite_risk_shape_probe","13","phase4_range_elite_risk_shape_model1","re_may140.set","2023_full","red_year","2023.01.01","2023.12.31","1","configs\013_re_may140_2023_full_m1.ini","re_risk_re_may140_2023_m1","profiles\re_may140.set","41A3A35650F4BA18C080F3ABE535B7FD7C3E205042D003BC393539C196793885","AD6C1D1607BD7809FFBBB25DD068A1AB18E4EE2FBC879114F6A02DBCA06D1894","Keep a smaller May opportunity boost without letting May dominate account risk.","InpMayRiskMultiplier=1.40","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"14","re_may140","14","range_elite_risk_shape_probe","14","phase4_range_elite_risk_shape_model1","re_may140.set","2024_full","profit_control","2024.01.01","2024.12.31","1","configs\014_re_may140_2024_full_m1.ini","re_risk_re_may140_2024_m1","profiles\re_may140.set","41A3A35650F4BA18C080F3ABE535B7FD7C3E205042D003BC393539C196793885","AD6C1D1607BD7809FFBBB25DD068A1AB18E4EE2FBC879114F6A02DBCA06D1894","Keep a smaller May opportunity boost without letting May dominate account risk.","InpMayRiskMultiplier=1.40","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"15","re_may140","15","range_elite_risk_shape_probe","15","phase4_range_elite_risk_shape_model1","re_may140.set","2026_ytd","high_dd_recent","2026.01.01","2026.07.12","1","configs\015_re_may140_2026_ytd_m1.ini","re_risk_re_may140_2026ytd_m1","profiles\re_may140.set","41A3A35650F4BA18C080F3ABE535B7FD7C3E205042D003BC393539C196793885","AD6C1D1607BD7809FFBBB25DD068A1AB18E4EE2FBC879114F6A02DBCA06D1894","Keep a smaller May opportunity boost without letting May dominate account risk.","InpMayRiskMultiplier=1.40","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"16","re_may200","16","range_elite_risk_shape_probe","16","phase4_range_elite_risk_shape_model1","re_may200.set","2019_full","red_year","2019.01.01","2019.12.31","1","configs\016_re_may200_2019_full_m1.ini","re_risk_re_may200_2019_m1","profiles\re_may200.set","6BFCEDFD617E173AB2F34CF9A27EEC8D6EAD0F222EC2A0BBED1B3DA8E4C8AEA0","AD6C1D1607BD7809FFBBB25DD068A1AB18E4EE2FBC879114F6A02DBCA06D1894","Intermediate May cap between current 2.80 and neutral 1.00.","InpMayRiskMultiplier=2.00","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"17","re_may200","17","range_elite_risk_shape_probe","17","phase4_range_elite_risk_shape_model1","re_may200.set","2021_full","red_year","2021.01.01","2021.12.31","1","configs\017_re_may200_2021_full_m1.ini","re_risk_re_may200_2021_m1","profiles\re_may200.set","6BFCEDFD617E173AB2F34CF9A27EEC8D6EAD0F222EC2A0BBED1B3DA8E4C8AEA0","AD6C1D1607BD7809FFBBB25DD068A1AB18E4EE2FBC879114F6A02DBCA06D1894","Intermediate May cap between current 2.80 and neutral 1.00.","InpMayRiskMultiplier=2.00","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"18","re_may200","18","range_elite_risk_shape_probe","18","phase4_range_elite_risk_shape_model1","re_may200.set","2023_full","red_year","2023.01.01","2023.12.31","1","configs\018_re_may200_2023_full_m1.ini","re_risk_re_may200_2023_m1","profiles\re_may200.set","6BFCEDFD617E173AB2F34CF9A27EEC8D6EAD0F222EC2A0BBED1B3DA8E4C8AEA0","AD6C1D1607BD7809FFBBB25DD068A1AB18E4EE2FBC879114F6A02DBCA06D1894","Intermediate May cap between current 2.80 and neutral 1.00.","InpMayRiskMultiplier=2.00","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"19","re_may200","19","range_elite_risk_shape_probe","19","phase4_range_elite_risk_shape_model1","re_may200.set","2024_full","profit_control","2024.01.01","2024.12.31","1","configs\019_re_may200_2024_full_m1.ini","re_risk_re_may200_2024_m1","profiles\re_may200.set","6BFCEDFD617E173AB2F34CF9A27EEC8D6EAD0F222EC2A0BBED1B3DA8E4C8AEA0","AD6C1D1607BD7809FFBBB25DD068A1AB18E4EE2FBC879114F6A02DBCA06D1894","Intermediate May cap between current 2.80 and neutral 1.00.","InpMayRiskMultiplier=2.00","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"20","re_may200","20","range_elite_risk_shape_probe","20","phase4_range_elite_risk_shape_model1","re_may200.set","2026_ytd","high_dd_recent","2026.01.01","2026.07.12","1","configs\020_re_may200_2026_ytd_m1.ini","re_risk_re_may200_2026ytd_m1","profiles\re_may200.set","6BFCEDFD617E173AB2F34CF9A27EEC8D6EAD0F222EC2A0BBED1B3DA8E4C8AEA0","AD6C1D1607BD7809FFBBB25DD068A1AB18E4EE2FBC879114F6A02DBCA06D1894","Intermediate May cap between current 2.80 and neutral 1.00.","InpMayRiskMultiplier=2.00","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"21","re_maxrisk100","21","range_elite_risk_shape_probe","21","phase4_range_elite_risk_shape_model1","re_maxrisk100.set","2019_full","red_year","2019.01.01","2019.12.31","1","configs\021_re_maxrisk100_2019_full_m1.ini","re_risk_re_maxrisk100_2019_m1","profiles\re_maxrisk100.set","5F199649195B09A678CA67F4D533DF632523EFA314F10675ACEA7684CBEE7B66","AD6C1D1607BD7809FFBBB25DD068A1AB18E4EE2FBC879114F6A02DBCA06D1894","Cap effective risk at 1.00%, clipping May/profit boosts without touching entries.","InpMaxEffectiveRiskPercent=1.00","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"22","re_maxrisk100","22","range_elite_risk_shape_probe","22","phase4_range_elite_risk_shape_model1","re_maxrisk100.set","2021_full","red_year","2021.01.01","2021.12.31","1","configs\022_re_maxrisk100_2021_full_m1.ini","re_risk_re_maxrisk100_2021_m1","profiles\re_maxrisk100.set","5F199649195B09A678CA67F4D533DF632523EFA314F10675ACEA7684CBEE7B66","AD6C1D1607BD7809FFBBB25DD068A1AB18E4EE2FBC879114F6A02DBCA06D1894","Cap effective risk at 1.00%, clipping May/profit boosts without touching entries.","InpMaxEffectiveRiskPercent=1.00","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"23","re_maxrisk100","23","range_elite_risk_shape_probe","23","phase4_range_elite_risk_shape_model1","re_maxrisk100.set","2023_full","red_year","2023.01.01","2023.12.31","1","configs\023_re_maxrisk100_2023_full_m1.ini","re_risk_re_maxrisk100_2023_m1","profiles\re_maxrisk100.set","5F199649195B09A678CA67F4D533DF632523EFA314F10675ACEA7684CBEE7B66","AD6C1D1607BD7809FFBBB25DD068A1AB18E4EE2FBC879114F6A02DBCA06D1894","Cap effective risk at 1.00%, clipping May/profit boosts without touching entries.","InpMaxEffectiveRiskPercent=1.00","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"24","re_maxrisk100","24","range_elite_risk_shape_probe","24","phase4_range_elite_risk_shape_model1","re_maxrisk100.set","2024_full","profit_control","2024.01.01","2024.12.31","1","configs\024_re_maxrisk100_2024_full_m1.ini","re_risk_re_maxrisk100_2024_m1","profiles\re_maxrisk100.set","5F199649195B09A678CA67F4D533DF632523EFA314F10675ACEA7684CBEE7B66","AD6C1D1607BD7809FFBBB25DD068A1AB18E4EE2FBC879114F6A02DBCA06D1894","Cap effective risk at 1.00%, clipping May/profit boosts without touching entries.","InpMaxEffectiveRiskPercent=1.00","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"25","re_maxrisk100","25","range_elite_risk_shape_probe","25","phase4_range_elite_risk_shape_model1","re_maxrisk100.set","2026_ytd","high_dd_recent","2026.01.01","2026.07.12","1","configs\025_re_maxrisk100_2026_ytd_m1.ini","re_risk_re_maxrisk100_2026ytd_m1","profiles\re_maxrisk100.set","5F199649195B09A678CA67F4D533DF632523EFA314F10675ACEA7684CBEE7B66","AD6C1D1607BD7809FFBBB25DD068A1AB18E4EE2FBC879114F6A02DBCA06D1894","Cap effective risk at 1.00%, clipping May/profit boosts without touching entries.","InpMaxEffectiveRiskPercent=1.00","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"26","re_lotcap030","26","range_elite_risk_shape_probe","26","phase4_range_elite_risk_shape_model1","re_lotcap030.set","2019_full","red_year","2019.01.01","2019.12.31","1","configs\026_re_lotcap030_2019_full_m1.ini","re_risk_re_lotcap030_2019_m1","profiles\re_lotcap030.set","3603E1AEC50817DDCE4CC274D0E0DA7DD1E8C91AE9BC9A6193C31CAB513FF105","AD6C1D1607BD7809FFBBB25DD068A1AB18E4EE2FBC879114F6A02DBCA06D1894","Cap position size at 0.30 lots to block oversized late equity-growth losers.","InpMaxPositionLots=0.30","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"27","re_lotcap030","27","range_elite_risk_shape_probe","27","phase4_range_elite_risk_shape_model1","re_lotcap030.set","2021_full","red_year","2021.01.01","2021.12.31","1","configs\027_re_lotcap030_2021_full_m1.ini","re_risk_re_lotcap030_2021_m1","profiles\re_lotcap030.set","3603E1AEC50817DDCE4CC274D0E0DA7DD1E8C91AE9BC9A6193C31CAB513FF105","AD6C1D1607BD7809FFBBB25DD068A1AB18E4EE2FBC879114F6A02DBCA06D1894","Cap position size at 0.30 lots to block oversized late equity-growth losers.","InpMaxPositionLots=0.30","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"28","re_lotcap030","28","range_elite_risk_shape_probe","28","phase4_range_elite_risk_shape_model1","re_lotcap030.set","2023_full","red_year","2023.01.01","2023.12.31","1","configs\028_re_lotcap030_2023_full_m1.ini","re_risk_re_lotcap030_2023_m1","profiles\re_lotcap030.set","3603E1AEC50817DDCE4CC274D0E0DA7DD1E8C91AE9BC9A6193C31CAB513FF105","AD6C1D1607BD7809FFBBB25DD068A1AB18E4EE2FBC879114F6A02DBCA06D1894","Cap position size at 0.30 lots to block oversized late equity-growth losers.","InpMaxPositionLots=0.30","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"29","re_lotcap030","29","range_elite_risk_shape_probe","29","phase4_range_elite_risk_shape_model1","re_lotcap030.set","2024_full","profit_control","2024.01.01","2024.12.31","1","configs\029_re_lotcap030_2024_full_m1.ini","re_risk_re_lotcap030_2024_m1","profiles\re_lotcap030.set","3603E1AEC50817DDCE4CC274D0E0DA7DD1E8C91AE9BC9A6193C31CAB513FF105","AD6C1D1607BD7809FFBBB25DD068A1AB18E4EE2FBC879114F6A02DBCA06D1894","Cap position size at 0.30 lots to block oversized late equity-growth losers.","InpMaxPositionLots=0.30","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"30","re_lotcap030","30","range_elite_risk_shape_probe","30","phase4_range_elite_risk_shape_model1","re_lotcap030.set","2026_ytd","high_dd_recent","2026.01.01","2026.07.12","1","configs\030_re_lotcap030_2026_ytd_m1.ini","re_risk_re_lotcap030_2026ytd_m1","profiles\re_lotcap030.set","3603E1AEC50817DDCE4CC274D0E0DA7DD1E8C91AE9BC9A6193C31CAB513FF105","AD6C1D1607BD7809FFBBB25DD068A1AB18E4EE2FBC879114F6A02DBCA06D1894","Cap position size at 0.30 lots to block oversized late equity-growth losers.","InpMaxPositionLots=0.30","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"31","re_ny_end16","31","range_elite_risk_shape_probe","31","phase4_range_elite_risk_shape_model1","re_ny_end16.set","2019_full","red_year","2019.01.01","2019.12.31","1","configs\031_re_ny_end16_2019_full_m1.ini","re_risk_re_ny_end16_2019_m1","profiles\re_ny_end16.set","1510D1268AAADDADC8C6E63235B298FD13847002C3E820FD50156E41447985DA","AD6C1D1607BD7809FFBBB25DD068A1AB18E4EE2FBC879114F6A02DBCA06D1894","End New York entries before hour 16, the worst trade-log hour.","InpNewYorkEndHour=16","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"32","re_ny_end16","32","range_elite_risk_shape_probe","32","phase4_range_elite_risk_shape_model1","re_ny_end16.set","2021_full","red_year","2021.01.01","2021.12.31","1","configs\032_re_ny_end16_2021_full_m1.ini","re_risk_re_ny_end16_2021_m1","profiles\re_ny_end16.set","1510D1268AAADDADC8C6E63235B298FD13847002C3E820FD50156E41447985DA","AD6C1D1607BD7809FFBBB25DD068A1AB18E4EE2FBC879114F6A02DBCA06D1894","End New York entries before hour 16, the worst trade-log hour.","InpNewYorkEndHour=16","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"33","re_ny_end16","33","range_elite_risk_shape_probe","33","phase4_range_elite_risk_shape_model1","re_ny_end16.set","2023_full","red_year","2023.01.01","2023.12.31","1","configs\033_re_ny_end16_2023_full_m1.ini","re_risk_re_ny_end16_2023_m1","profiles\re_ny_end16.set","1510D1268AAADDADC8C6E63235B298FD13847002C3E820FD50156E41447985DA","AD6C1D1607BD7809FFBBB25DD068A1AB18E4EE2FBC879114F6A02DBCA06D1894","End New York entries before hour 16, the worst trade-log hour.","InpNewYorkEndHour=16","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"34","re_ny_end16","34","range_elite_risk_shape_probe","34","phase4_range_elite_risk_shape_model1","re_ny_end16.set","2024_full","profit_control","2024.01.01","2024.12.31","1","configs\034_re_ny_end16_2024_full_m1.ini","re_risk_re_ny_end16_2024_m1","profiles\re_ny_end16.set","1510D1268AAADDADC8C6E63235B298FD13847002C3E820FD50156E41447985DA","AD6C1D1607BD7809FFBBB25DD068A1AB18E4EE2FBC879114F6A02DBCA06D1894","End New York entries before hour 16, the worst trade-log hour.","InpNewYorkEndHour=16","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"35","re_ny_end16","35","range_elite_risk_shape_probe","35","phase4_range_elite_risk_shape_model1","re_ny_end16.set","2026_ytd","high_dd_recent","2026.01.01","2026.07.12","1","configs\035_re_ny_end16_2026_ytd_m1.ini","re_risk_re_ny_end16_2026ytd_m1","profiles\re_ny_end16.set","1510D1268AAADDADC8C6E63235B298FD13847002C3E820FD50156E41447985DA","AD6C1D1607BD7809FFBBB25DD068A1AB18E4EE2FBC879114F6A02DBCA06D1894","End New York entries before hour 16, the worst trade-log hour.","InpNewYorkEndHour=16","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"36","re_ny16_may140_lot030","36","range_elite_risk_shape_probe","36","phase4_range_elite_risk_shape_model1","re_ny16_may140_lot030.set","2019_full","red_year","2019.01.01","2019.12.31","1","configs\036_re_ny16_may140_lot030_2019_full_m1.ini","re_risk_re_ny16_may140_lot030_2019_m1","profiles\re_ny16_may140_lot030.set","A81C97F744F9357F537922639A40CEF3F3A1EA424459737F68119BADA6E6D4E7","AD6C1D1607BD7809FFBBB25DD068A1AB18E4EE2FBC879114F6A02DBCA06D1894","Combined tail-risk cap: earlier NY end, smaller May boost, and 0.30 lot cap.","InpMaxPositionLots=0.30;InpMayRiskMultiplier=1.40;InpNewYorkEndHour=16","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"37","re_ny16_may140_lot030","37","range_elite_risk_shape_probe","37","phase4_range_elite_risk_shape_model1","re_ny16_may140_lot030.set","2021_full","red_year","2021.01.01","2021.12.31","1","configs\037_re_ny16_may140_lot030_2021_full_m1.ini","re_risk_re_ny16_may140_lot030_2021_m1","profiles\re_ny16_may140_lot030.set","A81C97F744F9357F537922639A40CEF3F3A1EA424459737F68119BADA6E6D4E7","AD6C1D1607BD7809FFBBB25DD068A1AB18E4EE2FBC879114F6A02DBCA06D1894","Combined tail-risk cap: earlier NY end, smaller May boost, and 0.30 lot cap.","InpMaxPositionLots=0.30;InpMayRiskMultiplier=1.40;InpNewYorkEndHour=16","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"38","re_ny16_may140_lot030","38","range_elite_risk_shape_probe","38","phase4_range_elite_risk_shape_model1","re_ny16_may140_lot030.set","2023_full","red_year","2023.01.01","2023.12.31","1","configs\038_re_ny16_may140_lot030_2023_full_m1.ini","re_risk_re_ny16_may140_lot030_2023_m1","profiles\re_ny16_may140_lot030.set","A81C97F744F9357F537922639A40CEF3F3A1EA424459737F68119BADA6E6D4E7","AD6C1D1607BD7809FFBBB25DD068A1AB18E4EE2FBC879114F6A02DBCA06D1894","Combined tail-risk cap: earlier NY end, smaller May boost, and 0.30 lot cap.","InpMaxPositionLots=0.30;InpMayRiskMultiplier=1.40;InpNewYorkEndHour=16","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"39","re_ny16_may140_lot030","39","range_elite_risk_shape_probe","39","phase4_range_elite_risk_shape_model1","re_ny16_may140_lot030.set","2024_full","profit_control","2024.01.01","2024.12.31","1","configs\039_re_ny16_may140_lot030_2024_full_m1.ini","re_risk_re_ny16_may140_lot030_2024_m1","profiles\re_ny16_may140_lot030.set","A81C97F744F9357F537922639A40CEF3F3A1EA424459737F68119BADA6E6D4E7","AD6C1D1607BD7809FFBBB25DD068A1AB18E4EE2FBC879114F6A02DBCA06D1894","Combined tail-risk cap: earlier NY end, smaller May boost, and 0.30 lot cap.","InpMaxPositionLots=0.30;InpMayRiskMultiplier=1.40;InpNewYorkEndHour=16","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"40","re_ny16_may140_lot030","40","range_elite_risk_shape_probe","40","phase4_range_elite_risk_shape_model1","re_ny16_may140_lot030.set","2026_ytd","high_dd_recent","2026.01.01","2026.07.12","1","configs\040_re_ny16_may140_lot030_2026_ytd_m1.ini","re_risk_re_ny16_may140_lot030_2026ytd_m1","profiles\re_ny16_may140_lot030.set","A81C97F744F9357F537922639A40CEF3F3A1EA424459737F68119BADA6E6D4E7","AD6C1D1607BD7809FFBBB25DD068A1AB18E4EE2FBC879114F6A02DBCA06D1894","Combined tail-risk cap: earlier NY end, smaller May boost, and 0.30 lot cap.","InpMaxPositionLots=0.30;InpMayRiskMultiplier=1.40;InpNewYorkEndHour=16","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"41","re_dgfq_default","41","range_elite_risk_shape_probe","41","phase4_range_elite_risk_shape_model1","re_dgfq_default.set","2019_full","red_year","2019.01.01","2019.12.31","1","configs\041_re_dgfq_default_2019_full_m1.ini","re_risk_re_dgfq_default_2019_m1","profiles\re_dgfq_default.set","DF14CA7101B2DE1FBDC2A98123C4D6FA9300CBAA06504406E63873FC76069A14","AD6C1D1607BD7809FFBBB25DD068A1AB18E4EE2FBC879114F6A02DBCA06D1894","Enable the built-in diagnostic-fallback quality gate with default PA/SMQ/execution requirements.","InpUseDiagnosticFallbackQualityGate=true","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"42","re_dgfq_default","42","range_elite_risk_shape_probe","42","phase4_range_elite_risk_shape_model1","re_dgfq_default.set","2021_full","red_year","2021.01.01","2021.12.31","1","configs\042_re_dgfq_default_2021_full_m1.ini","re_risk_re_dgfq_default_2021_m1","profiles\re_dgfq_default.set","DF14CA7101B2DE1FBDC2A98123C4D6FA9300CBAA06504406E63873FC76069A14","AD6C1D1607BD7809FFBBB25DD068A1AB18E4EE2FBC879114F6A02DBCA06D1894","Enable the built-in diagnostic-fallback quality gate with default PA/SMQ/execution requirements.","InpUseDiagnosticFallbackQualityGate=true","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"43","re_dgfq_default","43","range_elite_risk_shape_probe","43","phase4_range_elite_risk_shape_model1","re_dgfq_default.set","2023_full","red_year","2023.01.01","2023.12.31","1","configs\043_re_dgfq_default_2023_full_m1.ini","re_risk_re_dgfq_default_2023_m1","profiles\re_dgfq_default.set","DF14CA7101B2DE1FBDC2A98123C4D6FA9300CBAA06504406E63873FC76069A14","AD6C1D1607BD7809FFBBB25DD068A1AB18E4EE2FBC879114F6A02DBCA06D1894","Enable the built-in diagnostic-fallback quality gate with default PA/SMQ/execution requirements.","InpUseDiagnosticFallbackQualityGate=true","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
