"Rank","Priority","Profile","Phase","Set","Window","From","To","Status","NetProfit","Balance","LogTimestamp","RunnerStatus","Evidence"
"1","","no_m1shock","full","full","continuous_2024_2026","2024.01.01","2026.07.12","PARSED_FROM_LOG","1288.93","2288.93","2026-07-12T13:53:33","NO_REPORT","Tester finished but no report file was found for dec_islp_guard_model0_no_m1shock_continuous_2024_2026."
"2","","no_m1shock","train","train","full2024","2024.01.01","2024.12.31","PARSED_FROM_LOG","1425.73","2425.73","2026-07-12T13:53:59","NO_REPORT","Tester finished but no report file was found for dec_islp_guard_model0_no_m1shock_full2024."
"3","","no_m1shock","oos","oos","full2025","2025.01.01","2025.12.31","PARSED_FROM_LOG","214.3","1214.3","2026-07-12T13:54:22","NO_REPORT","Tester finished but no report file was found for dec_islp_guard_model0_no_m1shock_full2025."
"4","","no_m1shock","recent","recent","ytd2026","2026.01.01","2026.07.12","PARSED_FROM_LOG","1375.36","2375.36","2026-07-12T13:55:02","NO_REPORT","Tester finished but no report file was found for dec_islp_guard_model0_no_m1shock_ytd2026."
"5","","no_m1shock","weak","weak","q4_2024","2024.10.01","2024.12.31","PARSED_FROM_LOG","-4.55","995.45","2026-07-12T13:55:15","NO_REPORT","Tester finished but no report file was found for dec_islp_guard_model0_no_m1shock_q4_2024."
"6","","no_m1shock","weak","weak","q4_2025","2025.10.01","2025.12.31","PARSED_FROM_LOG","196.16","1196.16","2026-07-12T13:55:31","NO_REPORT","Tester finished but no report file was found for dec_islp_guard_model0_no_m1shock_q4_2025."
"7","","dec_islp_off","full","full","continuous_2024_2026","2024.01.01","2026.07.12","PARSED_FROM_LOG","5386.54","6386.54","2026-07-12T13:56:39","NO_REPORT","Tester finished but no report file was found for dec_islp_guard_model0_dec_islp_off_continuous_2024_2026."
"8","","dec_islp_off","train","train","full2024","2024.01.01","2024.12.31","PARSED_FROM_LOG","1549.23","2549.23","2026-07-12T13:57:06","NO_REPORT","Tester finished but no report file was found for dec_islp_guard_model0_dec_islp_off_full2024."
"9","","dec_islp_off","oos","oos","full2025","2025.01.01","2025.12.31","PARSED_FROM_LOG","214.3","1214.3","2026-07-12T13:57:29","NO_REPORT","Tester finished but no report file was found for dec_islp_guard_model0_dec_islp_off_full2025."
"10","","dec_islp_off","recent","recent","ytd2026","2026.01.01","2026.07.12","PARSED_FROM_LOG","1375.36","2375.36","2026-07-12T13:58:07","NO_REPORT","Tester finished but no report file was found for dec_islp_guard_model0_dec_islp_off_ytd2026."
"11","","dec_islp_off","weak","weak","q4_2024","2024.10.01","2024.12.31","PARSED_FROM_LOG","46.75","1046.75","2026-07-12T13:58:19","NO_REPORT","Tester finished but no report file was found for dec_islp_guard_model0_dec_islp_off_q4_2024."
"12","","dec_islp_off","weak","weak","q4_2025","2025.10.01","2025.12.31","PARSED_FROM_LOG","196.16","1196.16","2026-07-12T13:58:36","NO_REPORT","Tester finished but no report file was found for dec_islp_guard_model0_dec_islp_off_q4_2025."
