"QueueRank","Candidate","Phase","PhaseLabel","Window","Role","Model","PackageConfig","SourceConfig","ExpectedReportName","ReportDestination","ProfileSha256","StopRule"
"1","re_base","phase4_range_elite_risk_shape_model4","Range-elite risk-shape probe","2019_full","red_year","4","outputs\range_elite_guard_model4_shortlist_package\configs\001_re_base_2019_full_m4.ini","outputs\range_elite_guard_model4_shortlist_package\configs\001_re_base_2019_full_m4.ini","re_risk_re_base_2019_m4","outputs\range_elite_guard_model4_shortlist_package\reports_here\re_risk_re_base_2019_m4","100C73F53078FFFCACDFAFA0480363B8A57DBD730B8E4148BA876DC0D5BCC26D","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"2","re_base","phase4_range_elite_risk_shape_model4","Range-elite risk-shape probe","2021_full","red_year","4","outputs\range_elite_guard_model4_shortlist_package\configs\002_re_base_2021_full_m4.ini","outputs\range_elite_guard_model4_shortlist_package\configs\002_re_base_2021_full_m4.ini","re_risk_re_base_2021_m4","outputs\range_elite_guard_model4_shortlist_package\reports_here\re_risk_re_base_2021_m4","100C73F53078FFFCACDFAFA0480363B8A57DBD730B8E4148BA876DC0D5BCC26D","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"3","re_base","phase4_range_elite_risk_shape_model4","Range-elite risk-shape probe","2023_full","red_year","4","outputs\range_elite_guard_model4_shortlist_package\configs\003_re_base_2023_full_m4.ini","outputs\range_elite_guard_model4_shortlist_package\configs\003_re_base_2023_full_m4.ini","re_risk_re_base_2023_m4","outputs\range_elite_guard_model4_shortlist_package\reports_here\re_risk_re_base_2023_m4","100C73F53078FFFCACDFAFA0480363B8A57DBD730B8E4148BA876DC0D5BCC26D","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"4","re_base","phase4_range_elite_risk_shape_model4","Range-elite risk-shape probe","2024_full","profit_control","4","outputs\range_elite_guard_model4_shortlist_package\configs\004_re_base_2024_full_m4.ini","outputs\range_elite_guard_model4_shortlist_package\configs\004_re_base_2024_full_m4.ini","re_risk_re_base_2024_m4","outputs\range_elite_guard_model4_shortlist_package\reports_here\re_risk_re_base_2024_m4","100C73F53078FFFCACDFAFA0480363B8A57DBD730B8E4148BA876DC0D5BCC26D","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"5","re_base","phase4_range_elite_risk_shape_model4","Range-elite risk-shape probe","2025_full","profit_control","4","outputs\range_elite_guard_model4_shortlist_package\configs\005_re_base_2025_full_m4.ini","outputs\range_elite_guard_model4_shortlist_package\configs\005_re_base_2025_full_m4.ini","re_risk_re_base_2025_m4","outputs\range_elite_guard_model4_shortlist_package\reports_here\re_risk_re_base_2025_m4","100C73F53078FFFCACDFAFA0480363B8A57DBD730B8E4148BA876DC0D5BCC26D","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"6","re_base","phase4_range_elite_risk_shape_model4","Range-elite risk-shape probe","2026_ytd","high_dd_recent","4","outputs\range_elite_guard_model4_shortlist_package\configs\006_re_base_2026_ytd_m4.ini","outputs\range_elite_guard_model4_shortlist_package\configs\006_re_base_2026_ytd_m4.ini","re_risk_re_base_2026ytd_m4","outputs\range_elite_guard_model4_shortlist_package\reports_here\re_risk_re_base_2026ytd_m4","100C73F53078FFFCACDFAFA0480363B8A57DBD730B8E4148BA876DC0D5BCC26D","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"7","re_may140","phase4_range_elite_risk_shape_model4","Range-elite risk-shape probe","2019_full","red_year","4","outputs\range_elite_guard_model4_shortlist_package\configs\007_re_may140_2019_full_m4.ini","outputs\range_elite_guard_model4_shortlist_package\configs\007_re_may140_2019_full_m4.ini","re_risk_re_may140_2019_m4","outputs\range_elite_guard_model4_shortlist_package\reports_here\re_risk_re_may140_2019_m4","3FE2680F6E781E0F8BE4C5302029D0E40F86AAEC1FD83422BCC6B26C4177A6C6","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"8","re_may140","phase4_range_elite_risk_shape_model4","Range-elite risk-shape probe","2021_full","red_year","4","outputs\range_elite_guard_model4_shortlist_package\configs\008_re_may140_2021_full_m4.ini","outputs\range_elite_guard_model4_shortlist_package\configs\008_re_may140_2021_full_m4.ini","re_risk_re_may140_2021_m4","outputs\range_elite_guard_model4_shortlist_package\reports_here\re_risk_re_may140_2021_m4","3FE2680F6E781E0F8BE4C5302029D0E40F86AAEC1FD83422BCC6B26C4177A6C6","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"9","re_may140","phase4_range_elite_risk_shape_model4","Range-elite risk-shape probe","2023_full","red_year","4","outputs\range_elite_guard_model4_shortlist_package\configs\009_re_may140_2023_full_m4.ini","outputs\range_elite_guard_model4_shortlist_package\configs\009_re_may140_2023_full_m4.ini","re_risk_re_may140_2023_m4","outputs\range_elite_guard_model4_shortlist_package\reports_here\re_risk_re_may140_2023_m4","3FE2680F6E781E0F8BE4C5302029D0E40F86AAEC1FD83422BCC6B26C4177A6C6","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"10","re_may140","phase4_range_elite_risk_shape_model4","Range-elite risk-shape probe","2024_full","profit_control","4","outputs\range_elite_guard_model4_shortlist_package\configs\010_re_may140_2024_full_m4.ini","outputs\range_elite_guard_model4_shortlist_package\configs\010_re_may140_2024_full_m4.ini","re_risk_re_may140_2024_m4","outputs\range_elite_guard_model4_shortlist_package\reports_here\re_risk_re_may140_2024_m4","3FE2680F6E781E0F8BE4C5302029D0E40F86AAEC1FD83422BCC6B26C4177A6C6","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"11","re_may140","phase4_range_elite_risk_shape_model4","Range-elite risk-shape probe","2025_full","profit_control","4","outputs\range_elite_guard_model4_shortlist_package\configs\011_re_may140_2025_full_m4.ini","outputs\range_elite_guard_model4_shortlist_package\configs\011_re_may140_2025_full_m4.ini","re_risk_re_may140_2025_m4","outputs\range_elite_guard_model4_shortlist_package\reports_here\re_risk_re_may140_2025_m4","3FE2680F6E781E0F8BE4C5302029D0E40F86AAEC1FD83422BCC6B26C4177A6C6","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"12","re_may140","phase4_range_elite_risk_shape_model4","Range-elite risk-shape probe","2026_ytd","high_dd_recent","4","outputs\range_elite_guard_model4_shortlist_package\configs\012_re_may140_2026_ytd_m4.ini","outputs\range_elite_guard_model4_shortlist_package\configs\012_re_may140_2026_ytd_m4.ini","re_risk_re_may140_2026ytd_m4","outputs\range_elite_guard_model4_shortlist_package\reports_here\re_risk_re_may140_2026ytd_m4","3FE2680F6E781E0F8BE4C5302029D0E40F86AAEC1FD83422BCC6B26C4177A6C6","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
