"QueueRank","Candidate","CandidateRank","Role","Phase","Window","From","To","Model","Deposit","RiskScaleFactor","MomentumRiskPercent","AdaptiveRiskPercent","ReversionRiskPercent","DeclaredLaneRiskSumPercent","MaximumPortfolioOpenRiskPercent","ReversionMaximumPositionLots","StrongReversionMaximumPositionLots","AdaptiveMaximumPositionLots","ExpectedReportName","PackageConfig","SourceConfig","ReportDestination","ConfigSha256","ProfileSha256","SourceSha256","StopRule"
"1","cerl_control100","1","control","capital_efficiency_risk_ladder_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","1.00","0.15","0.15","0.45","0.75","0.75","0.10","0.15","0.10","cerl_control100_older_2015_2018_m1","outputs\three_lane_capital_efficiency_risk_ladder_discovery_model1_package\configs\001_cerl_control100_older_2015_2018_m1.ini","outputs\three_lane_capital_efficiency_risk_ladder_discovery_model1_package\configs\001_cerl_control100_older_2015_2018_m1.ini","outputs\three_lane_capital_efficiency_risk_ladder_discovery_model1_package\reports_here\cerl_control100_older_2015_2018_m1","9A269C8A850089D4C39203AB9BB75CAC6661D2817C2EE29740A0DE5FAB704AD8","5B865B3D00A8F28906511BF3AA91698FA53FB48701A9FA5BC1CFBCD43CF42C1D","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Frozen proportional capital-efficiency ladder on the exact leader. Every row and all four disjoint eras must remain profitable. The 1.50x center must improve continuous net >=20% and CAGR >=control +0.30 point, retain >=90% of control trades, PF >=90% of control, recovery and return/DD >=80% of control, and DD <=2.00%. Both 1.25x and 1.75x neighbors must improve continuous net >=10%, retain >=80% of control PF/recovery/return-DD, and DD <=2.25%. The 5% equity-drawdown lock and all daily, weekly, monthly, cooldown, entry, and exit controls remain unchanged. No post-result rescue."
"2","cerl_control100","1","control","capital_efficiency_risk_ladder_discovery_model1","middle_2019_2020","2019.01.01","2020.12.31","1","10000","1.00","0.15","0.15","0.45","0.75","0.75","0.10","0.15","0.10","cerl_control100_middle_2019_2020_m1","outputs\three_lane_capital_efficiency_risk_ladder_discovery_model1_package\configs\002_cerl_control100_middle_2019_2020_m1.ini","outputs\three_lane_capital_efficiency_risk_ladder_discovery_model1_package\configs\002_cerl_control100_middle_2019_2020_m1.ini","outputs\three_lane_capital_efficiency_risk_ladder_discovery_model1_package\reports_here\cerl_control100_middle_2019_2020_m1","AA3B334EAE308D4D4FBDA9F835FE5B8C587594412A8721B9B475E2C61E1BB3C4","5B865B3D00A8F28906511BF3AA91698FA53FB48701A9FA5BC1CFBCD43CF42C1D","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Frozen proportional capital-efficiency ladder on the exact leader. Every row and all four disjoint eras must remain profitable. The 1.50x center must improve continuous net >=20% and CAGR >=control +0.30 point, retain >=90% of control trades, PF >=90% of control, recovery and return/DD >=80% of control, and DD <=2.00%. Both 1.25x and 1.75x neighbors must improve continuous net >=10%, retain >=80% of control PF/recovery/return-DD, and DD <=2.25%. The 5% equity-drawdown lock and all daily, weekly, monthly, cooldown, entry, and exit controls remain unchanged. No post-result rescue."
"3","cerl_control100","1","control","capital_efficiency_risk_ladder_discovery_model1","recent_2021_2023","2021.01.01","2023.12.31","1","10000","1.00","0.15","0.15","0.45","0.75","0.75","0.10","0.15","0.10","cerl_control100_recent_2021_2023_m1","outputs\three_lane_capital_efficiency_risk_ladder_discovery_model1_package\configs\003_cerl_control100_recent_2021_2023_m1.ini","outputs\three_lane_capital_efficiency_risk_ladder_discovery_model1_package\configs\003_cerl_control100_recent_2021_2023_m1.ini","outputs\three_lane_capital_efficiency_risk_ladder_discovery_model1_package\reports_here\cerl_control100_recent_2021_2023_m1","2FA687E1BD29C65E0AA64FDD4476782CE0347413824D489CB409A6E3E24F93AD","5B865B3D00A8F28906511BF3AA91698FA53FB48701A9FA5BC1CFBCD43CF42C1D","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Frozen proportional capital-efficiency ladder on the exact leader. Every row and all four disjoint eras must remain profitable. The 1.50x center must improve continuous net >=20% and CAGR >=control +0.30 point, retain >=90% of control trades, PF >=90% of control, recovery and return/DD >=80% of control, and DD <=2.00%. Both 1.25x and 1.75x neighbors must improve continuous net >=10%, retain >=80% of control PF/recovery/return-DD, and DD <=2.25%. The 5% equity-drawdown lock and all daily, weekly, monthly, cooldown, entry, and exit controls remain unchanged. No post-result rescue."
"4","cerl_control100","1","control","capital_efficiency_risk_ladder_discovery_model1","latest_2024_2026","2024.01.01","2026.07.12","1","10000","1.00","0.15","0.15","0.45","0.75","0.75","0.10","0.15","0.10","cerl_control100_latest_2024_2026_m1","outputs\three_lane_capital_efficiency_risk_ladder_discovery_model1_package\configs\004_cerl_control100_latest_2024_2026_m1.ini","outputs\three_lane_capital_efficiency_risk_ladder_discovery_model1_package\configs\004_cerl_control100_latest_2024_2026_m1.ini","outputs\three_lane_capital_efficiency_risk_ladder_discovery_model1_package\reports_here\cerl_control100_latest_2024_2026_m1","B9F3CBC2F7E919EB6D9517FB6F1F5AD08775F6A0BB7615AA259BF89544E15C55","5B865B3D00A8F28906511BF3AA91698FA53FB48701A9FA5BC1CFBCD43CF42C1D","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Frozen proportional capital-efficiency ladder on the exact leader. Every row and all four disjoint eras must remain profitable. The 1.50x center must improve continuous net >=20% and CAGR >=control +0.30 point, retain >=90% of control trades, PF >=90% of control, recovery and return/DD >=80% of control, and DD <=2.00%. Both 1.25x and 1.75x neighbors must improve continuous net >=10%, retain >=80% of control PF/recovery/return-DD, and DD <=2.25%. The 5% equity-drawdown lock and all daily, weekly, monthly, cooldown, entry, and exit controls remain unchanged. No post-result rescue."
"5","cerl_control100","1","control","capital_efficiency_risk_ladder_discovery_model1","continuous_2015_2026","2015.01.01","2026.07.12","1","10000","1.00","0.15","0.15","0.45","0.75","0.75","0.10","0.15","0.10","cerl_control100_continuous_2015_2026_m1","outputs\three_lane_capital_efficiency_risk_ladder_discovery_model1_package\configs\005_cerl_control100_continuous_2015_2026_m1.ini","outputs\three_lane_capital_efficiency_risk_ladder_discovery_model1_package\configs\005_cerl_control100_continuous_2015_2026_m1.ini","outputs\three_lane_capital_efficiency_risk_ladder_discovery_model1_package\reports_here\cerl_control100_continuous_2015_2026_m1","14950062EE363247BFB81B4EC424346313E5BA6FC105AE0354F1647D064DAD0E","5B865B3D00A8F28906511BF3AA91698FA53FB48701A9FA5BC1CFBCD43CF42C1D","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Frozen proportional capital-efficiency ladder on the exact leader. Every row and all four disjoint eras must remain profitable. The 1.50x center must improve continuous net >=20% and CAGR >=control +0.30 point, retain >=90% of control trades, PF >=90% of control, recovery and return/DD >=80% of control, and DD <=2.00%. Both 1.25x and 1.75x neighbors must improve continuous net >=10%, retain >=80% of control PF/recovery/return-DD, and DD <=2.25%. The 5% equity-drawdown lock and all daily, weekly, monthly, cooldown, entry, and exit controls remain unchanged. No post-result rescue."
"6","cerl_low125","2","lower_neighbor","capital_efficiency_risk_ladder_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","1.25","0.1875","0.1875","0.5625","0.9375","0.9375","0.125","0.1875","0.125","cerl_low125_older_2015_2018_m1","outputs\three_lane_capital_efficiency_risk_ladder_discovery_model1_package\configs\006_cerl_low125_older_2015_2018_m1.ini","outputs\three_lane_capital_efficiency_risk_ladder_discovery_model1_package\configs\006_cerl_low125_older_2015_2018_m1.ini","outputs\three_lane_capital_efficiency_risk_ladder_discovery_model1_package\reports_here\cerl_low125_older_2015_2018_m1","E8627550A13CF8142DD985FE4FE92D46763D9F718F0A60A9F48D7EC1FFED92BA","7AEA2C4F276011F471A02F0BFD653A2BF39C9C97BB8C7C7CF55D8E50B22B5EA0","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Frozen proportional capital-efficiency ladder on the exact leader. Every row and all four disjoint eras must remain profitable. The 1.50x center must improve continuous net >=20% and CAGR >=control +0.30 point, retain >=90% of control trades, PF >=90% of control, recovery and return/DD >=80% of control, and DD <=2.00%. Both 1.25x and 1.75x neighbors must improve continuous net >=10%, retain >=80% of control PF/recovery/return-DD, and DD <=2.25%. The 5% equity-drawdown lock and all daily, weekly, monthly, cooldown, entry, and exit controls remain unchanged. No post-result rescue."
"7","cerl_low125","2","lower_neighbor","capital_efficiency_risk_ladder_discovery_model1","middle_2019_2020","2019.01.01","2020.12.31","1","10000","1.25","0.1875","0.1875","0.5625","0.9375","0.9375","0.125","0.1875","0.125","cerl_low125_middle_2019_2020_m1","outputs\three_lane_capital_efficiency_risk_ladder_discovery_model1_package\configs\007_cerl_low125_middle_2019_2020_m1.ini","outputs\three_lane_capital_efficiency_risk_ladder_discovery_model1_package\configs\007_cerl_low125_middle_2019_2020_m1.ini","outputs\three_lane_capital_efficiency_risk_ladder_discovery_model1_package\reports_here\cerl_low125_middle_2019_2020_m1","1C85349EE51543AF267441541076BC3CF8ECCA22C818F81081F1F6DEFBA1463D","7AEA2C4F276011F471A02F0BFD653A2BF39C9C97BB8C7C7CF55D8E50B22B5EA0","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Frozen proportional capital-efficiency ladder on the exact leader. Every row and all four disjoint eras must remain profitable. The 1.50x center must improve continuous net >=20% and CAGR >=control +0.30 point, retain >=90% of control trades, PF >=90% of control, recovery and return/DD >=80% of control, and DD <=2.00%. Both 1.25x and 1.75x neighbors must improve continuous net >=10%, retain >=80% of control PF/recovery/return-DD, and DD <=2.25%. The 5% equity-drawdown lock and all daily, weekly, monthly, cooldown, entry, and exit controls remain unchanged. No post-result rescue."
"8","cerl_low125","2","lower_neighbor","capital_efficiency_risk_ladder_discovery_model1","recent_2021_2023","2021.01.01","2023.12.31","1","10000","1.25","0.1875","0.1875","0.5625","0.9375","0.9375","0.125","0.1875","0.125","cerl_low125_recent_2021_2023_m1","outputs\three_lane_capital_efficiency_risk_ladder_discovery_model1_package\configs\008_cerl_low125_recent_2021_2023_m1.ini","outputs\three_lane_capital_efficiency_risk_ladder_discovery_model1_package\configs\008_cerl_low125_recent_2021_2023_m1.ini","outputs\three_lane_capital_efficiency_risk_ladder_discovery_model1_package\reports_here\cerl_low125_recent_2021_2023_m1","C1D6B898F8B8CB9AFD1466EC2A18F88E118D5C9F1FFF13E72EA4A6E218C404D0","7AEA2C4F276011F471A02F0BFD653A2BF39C9C97BB8C7C7CF55D8E50B22B5EA0","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Frozen proportional capital-efficiency ladder on the exact leader. Every row and all four disjoint eras must remain profitable. The 1.50x center must improve continuous net >=20% and CAGR >=control +0.30 point, retain >=90% of control trades, PF >=90% of control, recovery and return/DD >=80% of control, and DD <=2.00%. Both 1.25x and 1.75x neighbors must improve continuous net >=10%, retain >=80% of control PF/recovery/return-DD, and DD <=2.25%. The 5% equity-drawdown lock and all daily, weekly, monthly, cooldown, entry, and exit controls remain unchanged. No post-result rescue."
"9","cerl_low125","2","lower_neighbor","capital_efficiency_risk_ladder_discovery_model1","latest_2024_2026","2024.01.01","2026.07.12","1","10000","1.25","0.1875","0.1875","0.5625","0.9375","0.9375","0.125","0.1875","0.125","cerl_low125_latest_2024_2026_m1","outputs\three_lane_capital_efficiency_risk_ladder_discovery_model1_package\configs\009_cerl_low125_latest_2024_2026_m1.ini","outputs\three_lane_capital_efficiency_risk_ladder_discovery_model1_package\configs\009_cerl_low125_latest_2024_2026_m1.ini","outputs\three_lane_capital_efficiency_risk_ladder_discovery_model1_package\reports_here\cerl_low125_latest_2024_2026_m1","8C33164B9D623D8DFDBFC980098247B16A4B1D4A2696B8D92A6CBAA2FC71E583","7AEA2C4F276011F471A02F0BFD653A2BF39C9C97BB8C7C7CF55D8E50B22B5EA0","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Frozen proportional capital-efficiency ladder on the exact leader. Every row and all four disjoint eras must remain profitable. The 1.50x center must improve continuous net >=20% and CAGR >=control +0.30 point, retain >=90% of control trades, PF >=90% of control, recovery and return/DD >=80% of control, and DD <=2.00%. Both 1.25x and 1.75x neighbors must improve continuous net >=10%, retain >=80% of control PF/recovery/return-DD, and DD <=2.25%. The 5% equity-drawdown lock and all daily, weekly, monthly, cooldown, entry, and exit controls remain unchanged. No post-result rescue."
"10","cerl_low125","2","lower_neighbor","capital_efficiency_risk_ladder_discovery_model1","continuous_2015_2026","2015.01.01","2026.07.12","1","10000","1.25","0.1875","0.1875","0.5625","0.9375","0.9375","0.125","0.1875","0.125","cerl_low125_continuous_2015_2026_m1","outputs\three_lane_capital_efficiency_risk_ladder_discovery_model1_package\configs\010_cerl_low125_continuous_2015_2026_m1.ini","outputs\three_lane_capital_efficiency_risk_ladder_discovery_model1_package\configs\010_cerl_low125_continuous_2015_2026_m1.ini","outputs\three_lane_capital_efficiency_risk_ladder_discovery_model1_package\reports_here\cerl_low125_continuous_2015_2026_m1","D0FD92ED497B52BD9148270D153E998B891FB98C6A596C4DA5E6E3D924E3038B","7AEA2C4F276011F471A02F0BFD653A2BF39C9C97BB8C7C7CF55D8E50B22B5EA0","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Frozen proportional capital-efficiency ladder on the exact leader. Every row and all four disjoint eras must remain profitable. The 1.50x center must improve continuous net >=20% and CAGR >=control +0.30 point, retain >=90% of control trades, PF >=90% of control, recovery and return/DD >=80% of control, and DD <=2.00%. Both 1.25x and 1.75x neighbors must improve continuous net >=10%, retain >=80% of control PF/recovery/return-DD, and DD <=2.25%. The 5% equity-drawdown lock and all daily, weekly, monthly, cooldown, entry, and exit controls remain unchanged. No post-result rescue."
