"Rank","Priority","Profile","Phase","Set","Window","From","To","Status","NetProfit","Balance","LogTimestamp","RunnerStatus","Evidence"
"1","","no_m1shock","full","full","continuous_2024_2026","2024.01.01","2026.07.12","PARSED_FROM_LOG","12054.55","13054.55","2026-07-12T13:49:31","NO_REPORT","Tester finished but no report file was found for dec_islp_guard_model2_no_m1shock_continuous_2024_2026."
"2","","no_m1shock","train","train","full2024","2024.01.01","2024.12.31","PARSED_FROM_LOG","3890.81","4890.81","2026-07-12T13:49:43","NO_REPORT","Tester finished but no report file was found for dec_islp_guard_model2_no_m1shock_full2024."
"3","","no_m1shock","oos","oos","full2025","2025.01.01","2025.12.31","PARSED_FROM_LOG","214.18","1214.18","2026-07-12T13:49:54","NO_REPORT","Tester finished but no report file was found for dec_islp_guard_model2_no_m1shock_full2025."
"4","","no_m1shock","recent","recent","ytd2026","2026.01.01","2026.07.12","PARSED_FROM_LOG","1375.04","2375.04","2026-07-12T13:50:05","NO_REPORT","Tester finished but no report file was found for dec_islp_guard_model2_no_m1shock_ytd2026."
"5","","no_m1shock","weak","weak","q4_2024","2024.10.01","2024.12.31","PARSED_FROM_LOG","161.23","1161.23","2026-07-12T13:50:16","NO_REPORT","Tester finished but no report file was found for dec_islp_guard_model2_no_m1shock_q4_2024."
"6","","no_m1shock","weak","weak","q4_2025","2025.10.01","2025.12.31","PARSED_FROM_LOG","194.82","1194.82","2026-07-12T13:50:27","NO_REPORT","Tester finished but no report file was found for dec_islp_guard_model2_no_m1shock_q4_2025."
"7","","dec_islp_off","full","full","continuous_2024_2026","2024.01.01","2026.07.12","PARSED_FROM_LOG","10127.76","11127.76","2026-07-12T13:50:40","NO_REPORT","Tester finished but no report file was found for dec_islp_guard_model2_dec_islp_off_continuous_2024_2026."
"8","","dec_islp_off","train","train","full2024","2024.01.01","2024.12.31","PARSED_FROM_LOG","3403.21","4403.21","2026-07-12T13:50:52","NO_REPORT","Tester finished but no report file was found for dec_islp_guard_model2_dec_islp_off_full2024."
"9","","dec_islp_off","oos","oos","full2025","2025.01.01","2025.12.31","PARSED_FROM_LOG","214.18","1214.18","2026-07-12T13:51:03","NO_REPORT","Tester finished but no report file was found for dec_islp_guard_model2_dec_islp_off_full2025."
"10","","dec_islp_off","recent","recent","ytd2026","2026.01.01","2026.07.12","PARSED_FROM_LOG","1375.04","2375.04","2026-07-12T13:51:14","NO_REPORT","Tester finished but no report file was found for dec_islp_guard_model2_dec_islp_off_ytd2026."
"11","","dec_islp_off","weak","weak","q4_2024","2024.10.01","2024.12.31","PARSED_FROM_LOG","46.75","1046.75","2026-07-12T13:51:25","NO_REPORT","Tester finished but no report file was found for dec_islp_guard_model2_dec_islp_off_q4_2024."
"12","","dec_islp_off","weak","weak","q4_2025","2025.10.01","2025.12.31","PARSED_FROM_LOG","194.82","1194.82","2026-07-12T13:51:36","NO_REPORT","Tester finished but no report file was found for dec_islp_guard_model2_dec_islp_off_q4_2025."
