"QueueRank","Candidate","CandidateRank","Role","Phase","Window","From","To","Model","Deposit","D1EmaSlopeOverextensionGuardEnabled","MaximumD1EmaSlopeATR","MomentumRiskPercent","ReversionRiskPercent","AdaptiveRiskPercent","MaximumPortfolioOpenRiskPercent","ExpectedReportName","PackageConfig","SourceConfig","ReportDestination","ConfigSha256","ProfileSha256","SourceSha256","StopRule"
"1","mdes_control","1","default_off_control","momentum_d1_ema_slope_guard_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","false","1.00","0.15","0.45","0.15","0.75","mdes_control_older_2015_2018_m1","outputs\three_lane_momentum_d1_ema_slope_guard_discovery_model1_package\configs\001_mdes_control_older_2015_2018_m1.ini","outputs\three_lane_momentum_d1_ema_slope_guard_discovery_model1_package\configs\001_mdes_control_older_2015_2018_m1.ini","outputs\three_lane_momentum_d1_ema_slope_guard_discovery_model1_package\reports_here\mdes_control_older_2015_2018_m1","B959334BB9DF8C32E6E65D728FC1CEEF080C5EC17B847EDCBF53AA7856092E7F","ED375509F438EF38F74560D5C244E7D86BF586638AFCA67F5A26A23BC7A81485","4119CAF3DACE9D35C80CDE7BBDDB5DBAB45001C654352A82E216B80BF70E9D67","Frozen four-era D1 EMA-slope guard discovery. Every row must parse. The 1.00 ATR center and both 0.75/1.25 neighbors must remain profitable in all four disjoint eras, change behavior, and improve continuous net and PF versus the default-off control. The center must keep continuous DD <=1.25%, recovery and return/DD no worse than control, and retain >=60% of control trades. No threshold rescue, capital change, or recent-window substitution after results."
"2","mdes_control","1","default_off_control","momentum_d1_ema_slope_guard_discovery_model1","middle_2019_2020","2019.01.01","2020.12.31","1","10000","false","1.00","0.15","0.45","0.15","0.75","mdes_control_middle_2019_2020_m1","outputs\three_lane_momentum_d1_ema_slope_guard_discovery_model1_package\configs\002_mdes_control_middle_2019_2020_m1.ini","outputs\three_lane_momentum_d1_ema_slope_guard_discovery_model1_package\configs\002_mdes_control_middle_2019_2020_m1.ini","outputs\three_lane_momentum_d1_ema_slope_guard_discovery_model1_package\reports_here\mdes_control_middle_2019_2020_m1","0C011781AC31E1AAC424ACDF6CF570F550354F862ED6BE8003221A4332A6B00E","ED375509F438EF38F74560D5C244E7D86BF586638AFCA67F5A26A23BC7A81485","4119CAF3DACE9D35C80CDE7BBDDB5DBAB45001C654352A82E216B80BF70E9D67","Frozen four-era D1 EMA-slope guard discovery. Every row must parse. The 1.00 ATR center and both 0.75/1.25 neighbors must remain profitable in all four disjoint eras, change behavior, and improve continuous net and PF versus the default-off control. The center must keep continuous DD <=1.25%, recovery and return/DD no worse than control, and retain >=60% of control trades. No threshold rescue, capital change, or recent-window substitution after results."
"3","mdes_control","1","default_off_control","momentum_d1_ema_slope_guard_discovery_model1","recent_2021_2023","2021.01.01","2023.12.31","1","10000","false","1.00","0.15","0.45","0.15","0.75","mdes_control_recent_2021_2023_m1","outputs\three_lane_momentum_d1_ema_slope_guard_discovery_model1_package\configs\003_mdes_control_recent_2021_2023_m1.ini","outputs\three_lane_momentum_d1_ema_slope_guard_discovery_model1_package\configs\003_mdes_control_recent_2021_2023_m1.ini","outputs\three_lane_momentum_d1_ema_slope_guard_discovery_model1_package\reports_here\mdes_control_recent_2021_2023_m1","49BCF992E95E928801C76C251284014BDA633FBA59CF22DD0D14894F18E8AFA8","ED375509F438EF38F74560D5C244E7D86BF586638AFCA67F5A26A23BC7A81485","4119CAF3DACE9D35C80CDE7BBDDB5DBAB45001C654352A82E216B80BF70E9D67","Frozen four-era D1 EMA-slope guard discovery. Every row must parse. The 1.00 ATR center and both 0.75/1.25 neighbors must remain profitable in all four disjoint eras, change behavior, and improve continuous net and PF versus the default-off control. The center must keep continuous DD <=1.25%, recovery and return/DD no worse than control, and retain >=60% of control trades. No threshold rescue, capital change, or recent-window substitution after results."
"4","mdes_control","1","default_off_control","momentum_d1_ema_slope_guard_discovery_model1","latest_2024_2026","2024.01.01","2026.07.12","1","10000","false","1.00","0.15","0.45","0.15","0.75","mdes_control_latest_2024_2026_m1","outputs\three_lane_momentum_d1_ema_slope_guard_discovery_model1_package\configs\004_mdes_control_latest_2024_2026_m1.ini","outputs\three_lane_momentum_d1_ema_slope_guard_discovery_model1_package\configs\004_mdes_control_latest_2024_2026_m1.ini","outputs\three_lane_momentum_d1_ema_slope_guard_discovery_model1_package\reports_here\mdes_control_latest_2024_2026_m1","740BFE59C7EED8AF29ECA825147F83D571DA1AE0EB6318F3CE85DB24A19F5A9F","ED375509F438EF38F74560D5C244E7D86BF586638AFCA67F5A26A23BC7A81485","4119CAF3DACE9D35C80CDE7BBDDB5DBAB45001C654352A82E216B80BF70E9D67","Frozen four-era D1 EMA-slope guard discovery. Every row must parse. The 1.00 ATR center and both 0.75/1.25 neighbors must remain profitable in all four disjoint eras, change behavior, and improve continuous net and PF versus the default-off control. The center must keep continuous DD <=1.25%, recovery and return/DD no worse than control, and retain >=60% of control trades. No threshold rescue, capital change, or recent-window substitution after results."
"5","mdes_control","1","default_off_control","momentum_d1_ema_slope_guard_discovery_model1","continuous_2015_2026","2015.01.01","2026.07.12","1","10000","false","1.00","0.15","0.45","0.15","0.75","mdes_control_continuous_2015_2026_m1","outputs\three_lane_momentum_d1_ema_slope_guard_discovery_model1_package\configs\005_mdes_control_continuous_2015_2026_m1.ini","outputs\three_lane_momentum_d1_ema_slope_guard_discovery_model1_package\configs\005_mdes_control_continuous_2015_2026_m1.ini","outputs\three_lane_momentum_d1_ema_slope_guard_discovery_model1_package\reports_here\mdes_control_continuous_2015_2026_m1","AAEA4BC1D005A114B0CFEB76D2B5D0C6BE999C47C5907BBBB0D5FBD9ACB80A9B","ED375509F438EF38F74560D5C244E7D86BF586638AFCA67F5A26A23BC7A81485","4119CAF3DACE9D35C80CDE7BBDDB5DBAB45001C654352A82E216B80BF70E9D67","Frozen four-era D1 EMA-slope guard discovery. Every row must parse. The 1.00 ATR center and both 0.75/1.25 neighbors must remain profitable in all four disjoint eras, change behavior, and improve continuous net and PF versus the default-off control. The center must keep continuous DD <=1.25%, recovery and return/DD no worse than control, and retain >=60% of control trades. No threshold rescue, capital change, or recent-window substitution after results."
"6","mdes_low075","2","lower_neighbor","momentum_d1_ema_slope_guard_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","true","0.75","0.15","0.45","0.15","0.75","mdes_low075_older_2015_2018_m1","outputs\three_lane_momentum_d1_ema_slope_guard_discovery_model1_package\configs\006_mdes_low075_older_2015_2018_m1.ini","outputs\three_lane_momentum_d1_ema_slope_guard_discovery_model1_package\configs\006_mdes_low075_older_2015_2018_m1.ini","outputs\three_lane_momentum_d1_ema_slope_guard_discovery_model1_package\reports_here\mdes_low075_older_2015_2018_m1","65CC5B806E06A341D26C48ABBEDD4FA42681309A7BA7C38D56A207302FA708CE","121EFFB75B7E12BFE0CF6EEE4D0B9264424F21F72666CEC2E194F96AA8DC396F","4119CAF3DACE9D35C80CDE7BBDDB5DBAB45001C654352A82E216B80BF70E9D67","Frozen four-era D1 EMA-slope guard discovery. Every row must parse. The 1.00 ATR center and both 0.75/1.25 neighbors must remain profitable in all four disjoint eras, change behavior, and improve continuous net and PF versus the default-off control. The center must keep continuous DD <=1.25%, recovery and return/DD no worse than control, and retain >=60% of control trades. No threshold rescue, capital change, or recent-window substitution after results."
"7","mdes_low075","2","lower_neighbor","momentum_d1_ema_slope_guard_discovery_model1","middle_2019_2020","2019.01.01","2020.12.31","1","10000","true","0.75","0.15","0.45","0.15","0.75","mdes_low075_middle_2019_2020_m1","outputs\three_lane_momentum_d1_ema_slope_guard_discovery_model1_package\configs\007_mdes_low075_middle_2019_2020_m1.ini","outputs\three_lane_momentum_d1_ema_slope_guard_discovery_model1_package\configs\007_mdes_low075_middle_2019_2020_m1.ini","outputs\three_lane_momentum_d1_ema_slope_guard_discovery_model1_package\reports_here\mdes_low075_middle_2019_2020_m1","9BA52B002B5D7A6FCFFCE4F7E5246F170186370CF11E543D9A945B05496ED3BE","121EFFB75B7E12BFE0CF6EEE4D0B9264424F21F72666CEC2E194F96AA8DC396F","4119CAF3DACE9D35C80CDE7BBDDB5DBAB45001C654352A82E216B80BF70E9D67","Frozen four-era D1 EMA-slope guard discovery. Every row must parse. The 1.00 ATR center and both 0.75/1.25 neighbors must remain profitable in all four disjoint eras, change behavior, and improve continuous net and PF versus the default-off control. The center must keep continuous DD <=1.25%, recovery and return/DD no worse than control, and retain >=60% of control trades. No threshold rescue, capital change, or recent-window substitution after results."
"8","mdes_low075","2","lower_neighbor","momentum_d1_ema_slope_guard_discovery_model1","recent_2021_2023","2021.01.01","2023.12.31","1","10000","true","0.75","0.15","0.45","0.15","0.75","mdes_low075_recent_2021_2023_m1","outputs\three_lane_momentum_d1_ema_slope_guard_discovery_model1_package\configs\008_mdes_low075_recent_2021_2023_m1.ini","outputs\three_lane_momentum_d1_ema_slope_guard_discovery_model1_package\configs\008_mdes_low075_recent_2021_2023_m1.ini","outputs\three_lane_momentum_d1_ema_slope_guard_discovery_model1_package\reports_here\mdes_low075_recent_2021_2023_m1","3707206E12FF700DC42939F0B54FDE59FF7DE23991C855953D46799DBD877AF1","121EFFB75B7E12BFE0CF6EEE4D0B9264424F21F72666CEC2E194F96AA8DC396F","4119CAF3DACE9D35C80CDE7BBDDB5DBAB45001C654352A82E216B80BF70E9D67","Frozen four-era D1 EMA-slope guard discovery. Every row must parse. The 1.00 ATR center and both 0.75/1.25 neighbors must remain profitable in all four disjoint eras, change behavior, and improve continuous net and PF versus the default-off control. The center must keep continuous DD <=1.25%, recovery and return/DD no worse than control, and retain >=60% of control trades. No threshold rescue, capital change, or recent-window substitution after results."
"9","mdes_low075","2","lower_neighbor","momentum_d1_ema_slope_guard_discovery_model1","latest_2024_2026","2024.01.01","2026.07.12","1","10000","true","0.75","0.15","0.45","0.15","0.75","mdes_low075_latest_2024_2026_m1","outputs\three_lane_momentum_d1_ema_slope_guard_discovery_model1_package\configs\009_mdes_low075_latest_2024_2026_m1.ini","outputs\three_lane_momentum_d1_ema_slope_guard_discovery_model1_package\configs\009_mdes_low075_latest_2024_2026_m1.ini","outputs\three_lane_momentum_d1_ema_slope_guard_discovery_model1_package\reports_here\mdes_low075_latest_2024_2026_m1","7E2F04ABB60D2B83CE966082A53236D33B9241A802AF35367FA1783F6E974E99","121EFFB75B7E12BFE0CF6EEE4D0B9264424F21F72666CEC2E194F96AA8DC396F","4119CAF3DACE9D35C80CDE7BBDDB5DBAB45001C654352A82E216B80BF70E9D67","Frozen four-era D1 EMA-slope guard discovery. Every row must parse. The 1.00 ATR center and both 0.75/1.25 neighbors must remain profitable in all four disjoint eras, change behavior, and improve continuous net and PF versus the default-off control. The center must keep continuous DD <=1.25%, recovery and return/DD no worse than control, and retain >=60% of control trades. No threshold rescue, capital change, or recent-window substitution after results."
"10","mdes_low075","2","lower_neighbor","momentum_d1_ema_slope_guard_discovery_model1","continuous_2015_2026","2015.01.01","2026.07.12","1","10000","true","0.75","0.15","0.45","0.15","0.75","mdes_low075_continuous_2015_2026_m1","outputs\three_lane_momentum_d1_ema_slope_guard_discovery_model1_package\configs\010_mdes_low075_continuous_2015_2026_m1.ini","outputs\three_lane_momentum_d1_ema_slope_guard_discovery_model1_package\configs\010_mdes_low075_continuous_2015_2026_m1.ini","outputs\three_lane_momentum_d1_ema_slope_guard_discovery_model1_package\reports_here\mdes_low075_continuous_2015_2026_m1","1C1261E8E19FCACC7EB80A680C7845A8B99FB558F553A756E851FE08A6597FC8","121EFFB75B7E12BFE0CF6EEE4D0B9264424F21F72666CEC2E194F96AA8DC396F","4119CAF3DACE9D35C80CDE7BBDDB5DBAB45001C654352A82E216B80BF70E9D67","Frozen four-era D1 EMA-slope guard discovery. Every row must parse. The 1.00 ATR center and both 0.75/1.25 neighbors must remain profitable in all four disjoint eras, change behavior, and improve continuous net and PF versus the default-off control. The center must keep continuous DD <=1.25%, recovery and return/DD no worse than control, and retain >=60% of control trades. No threshold rescue, capital change, or recent-window substitution after results."
