"Area","Status","Actual","Evidence","NextAction"
"first-pass-report-routing","FAIL","routed=0; missing=0; duplicates=0; invalid=0; unmatched=2079","outputs\FIRST_PASS_RETURNED_REPORT_ROUTING.md","No first-pass reports are expected because the current next-run package is empty."
"live-evidence-routing","PENDING","routed=0; missing=3; duplicates=0; invalid=0; unmatched=0","outputs\TRADE_READY_LIVE_EVIDENCE_ROUTING.md","Drop trade log, forward evidence, and second-broker evidence CSVs into outputs\returned_mt5_reports\live_evidence_inbox; external evidence must include expected payoff, Sharpe, and win-rate columns."
"compile-evidence-routing","PASS","routed=2; missing=0; duplicates=0; invalid=0; imported=1; warnings=0; failed=0; waiting=0","outputs\MT5_COMPILE_EVIDENCE_ROUTING.md","Drop one MetaEditor compile log plus the exact compiled .mq5 source copy into outputs\returned_mt5_reports\compile_inbox."
"conservative-report-routing","PENDING","routed=0; validationRouted=0; brokerRouted=0; missing=63; duplicates=0; invalid=0; unmatched=0","outputs\TRADE_READY_CONSERVATIVE_RETURNED_REPORT_ROUTING.md","After first-pass passes, drop the 53 validation and 10 broker-proxy MT5 reports into outputs\returned_mt5_reports\trade_ready_conservative_validation_inbox."
"first-pass-refresh","FAIL","reports=parsedReports=0; parsedLogs=1; missing=21; unparsed=0; expected=22; decision=pass=14; pending=13; fail=2; trusted=promote=0; wait=1; fail=0; nextPackage=packagedConfigs=0; selectedConfigs=0","outputs\FIRST_PASS_REFRESH_STATUS.md","Import routed reports and wait for trusted first-pass promotion before full validation."
"first-pass-parallel-lanes","PASS","lanes=0; laneConfigs=0; zipExists=True","outputs\FIRST_PASS_PARALLEL_LANES.md","No lane folders are needed because there are 0 current first-pass configs."
"local-safety-audit","PASS","rows=44; failures=0","outputs\MT5_LOCAL_SAFETY_AUDIT.md","Fix local safety failures before running tester/live work."
"money-ready-efficiency-audit","PENDING","rows=17; pass=0; pending=17; fail=0","outputs\MONEY_READY_EFFICIENCY_AUDIT.md","Do not promote safe-but-small-profit profiles; require broad growth, return/drawdown, recent-data, and broker/stress efficiency targets."
"live-readiness","PENDING","rows=14; pass=7; pending=7; fail=0","outputs\TRADE_READY_LIVE_READINESS_DECISION.md","Close compile, validation, trade-quality, Monte Carlo, forward, second-broker, and reproducibility gates."
"money-ready-scorecard","PENDING","verdict=NOT_READY_PENDING_EVIDENCE; rows=20; pass=7; pending=13; fail=0","outputs\MONEY_READY_STATUS_SCORECARD.md","Do not consider live review until scorecard has zero pending and zero fail rows."
"release-candidate","PENDING","verdict=NOT_RELEASEABLE_PENDING_EVIDENCE; rows=6; pass=2; pending=4; fail=0","outputs\TRADE_READY_RELEASE_CANDIDATE_DECISION.md","Manual live-review profile remains blocked until evidence and explicit approval identity pass."
"proof-runway","FAIL","rows=8; ready=0; pendingOrWaiting=7; fail=1","outputs\MONEY_READY_PROOF_RUNWAY.md","Follow the first READY runway step."
"reproducibility-bundle","PASS","rows=83; pass=83; pending=0; fail=0; zipExists=True","outputs\TRADE_READY_REPRODUCIBILITY_BUNDLE.md","Use this local source/profile hash freeze for reproducibility; it does not replace the live-readiness GitHub sync gate."
"github-required-artifact-sync-package","PENDING","rows=7; zipExists=True; unsafeProfiles=0","outputs\GITHUB_REQUIRED_ARTIFACT_SYNC_PACKAGE.md","Use this package as the exact local source for uploading the remaining required GitHub source/profile artifacts."
"github-publication-sync","PASS","required=7; pass=7; pending=0; fail=0","outputs\GITHUB_PUBLICATION_SYNC.md","Publish exact source/profile artifacts to GitHub until required SHA-256 checks pass."
"evidence-handoff","PENDING","firstPassConfigs=0; firstPassLanes=0; firstPassLaneConfigs=0; fullValidationConfigs=63; compileEvidenceFiles=2; liveEvidenceFiles=3; missingFiles=0","outputs\MONEY_READY_EVIDENCE_HANDOFF.md","Use the handoff folder or zip when running/returning MT5 evidence outside this repo."
