"QueueRank","Candidate","CandidateRank","Role","Phase","Window","From","To","Model","Deposit","BuyTakeProfitEnabled","MomentumBuyTakeProfitR","MomentumSellTakeProfitR","MomentumRiskPercent","ReversionRiskPercent","AdaptiveRiskPercent","MaximumPortfolioOpenRiskPercent","ExpectedReportName","PackageConfig","SourceConfig","ReportDestination","ConfigSha256","ProfileSha256","SourceSha256","StopRule"
"1","mbp_control","1","control","momentum_buy_payoff_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","false","2.00","2.00","0.15","0.45","0.15","0.75","mbp_control_older_2015_2018_m1","outputs\three_lane_momentum_buy_payoff_discovery_model1_package\configs\001_mbp_control_older_2015_2018_m1.ini","outputs\three_lane_momentum_buy_payoff_discovery_model1_package\configs\001_mbp_control_older_2015_2018_m1.ini","outputs\three_lane_momentum_buy_payoff_discovery_model1_package\reports_here\mbp_control_older_2015_2018_m1","51F9E07AF07D2B4C499D2368BD7A97D1F525FA2BA09D6BB055318FC02AE57679","B3376B58CF5917C47B76EF199F2239017EC89F1956E2F7E0ECEBEF188D4B3593","52A2C2942931518EB28A8CB1BF1DD72D9C4BF07E6AC18F3C577D4971153A3923","Frozen pre-2021 momentum-buy payoff discovery. Center positive and >=98% control in both eras; continuous net >=control +3%; CAGR >=control +0.05 point; PF/recovery/return-DD no worse than control; DD <=min(1.20%, control +0.08 point); trades >=control -2. At least 2 of 3 non-center enabled neighbors retain 98% of both eras, improve net >=1.5%, CAGR >=control +0.02 point, retain 98% efficiency, meet the same DD ceiling, and retain >=control -3 trades. No post-result rescue."
"2","mbp_control","1","control","momentum_buy_payoff_discovery_model1","later_2019_2020","2019.01.01","2020.12.31","1","10000","false","2.00","2.00","0.15","0.45","0.15","0.75","mbp_control_later_2019_2020_m1","outputs\three_lane_momentum_buy_payoff_discovery_model1_package\configs\002_mbp_control_later_2019_2020_m1.ini","outputs\three_lane_momentum_buy_payoff_discovery_model1_package\configs\002_mbp_control_later_2019_2020_m1.ini","outputs\three_lane_momentum_buy_payoff_discovery_model1_package\reports_here\mbp_control_later_2019_2020_m1","1252A7C6476DB37ABBC6E94E67A2A7CEA0DC4AD2FD20BA242E48B56C06D8C6C9","B3376B58CF5917C47B76EF199F2239017EC89F1956E2F7E0ECEBEF188D4B3593","52A2C2942931518EB28A8CB1BF1DD72D9C4BF07E6AC18F3C577D4971153A3923","Frozen pre-2021 momentum-buy payoff discovery. Center positive and >=98% control in both eras; continuous net >=control +3%; CAGR >=control +0.05 point; PF/recovery/return-DD no worse than control; DD <=min(1.20%, control +0.08 point); trades >=control -2. At least 2 of 3 non-center enabled neighbors retain 98% of both eras, improve net >=1.5%, CAGR >=control +0.02 point, retain 98% efficiency, meet the same DD ceiling, and retain >=control -3 trades. No post-result rescue."
"3","mbp_control","1","control","momentum_buy_payoff_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","false","2.00","2.00","0.15","0.45","0.15","0.75","mbp_control_continuous_2015_2020_m1","outputs\three_lane_momentum_buy_payoff_discovery_model1_package\configs\003_mbp_control_continuous_2015_2020_m1.ini","outputs\three_lane_momentum_buy_payoff_discovery_model1_package\configs\003_mbp_control_continuous_2015_2020_m1.ini","outputs\three_lane_momentum_buy_payoff_discovery_model1_package\reports_here\mbp_control_continuous_2015_2020_m1","0CF86A4A4B28A140AD1DF18AA18237F53486F296BC5FFD6C4FAED534C8922DAD","B3376B58CF5917C47B76EF199F2239017EC89F1956E2F7E0ECEBEF188D4B3593","52A2C2942931518EB28A8CB1BF1DD72D9C4BF07E6AC18F3C577D4971153A3923","Frozen pre-2021 momentum-buy payoff discovery. Center positive and >=98% control in both eras; continuous net >=control +3%; CAGR >=control +0.05 point; PF/recovery/return-DD no worse than control; DD <=min(1.20%, control +0.08 point); trades >=control -2. At least 2 of 3 non-center enabled neighbors retain 98% of both eras, improve net >=1.5%, CAGR >=control +0.02 point, retain 98% efficiency, meet the same DD ceiling, and retain >=control -3 trades. No post-result rescue."
"4","mbp_buy225","2","lower_support","momentum_buy_payoff_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","true","2.25","2.00","0.15","0.45","0.15","0.75","mbp_buy225_older_2015_2018_m1","outputs\three_lane_momentum_buy_payoff_discovery_model1_package\configs\004_mbp_buy225_older_2015_2018_m1.ini","outputs\three_lane_momentum_buy_payoff_discovery_model1_package\configs\004_mbp_buy225_older_2015_2018_m1.ini","outputs\three_lane_momentum_buy_payoff_discovery_model1_package\reports_here\mbp_buy225_older_2015_2018_m1","5662A6054F403EAB7A29B2F63164F2397F2955626239724F7BE656F19C0A8C8F","F010B0D17EAA031C2BAA66111FA1B42376A7BA2F556480556B66A1A64335F56F","52A2C2942931518EB28A8CB1BF1DD72D9C4BF07E6AC18F3C577D4971153A3923","Frozen pre-2021 momentum-buy payoff discovery. Center positive and >=98% control in both eras; continuous net >=control +3%; CAGR >=control +0.05 point; PF/recovery/return-DD no worse than control; DD <=min(1.20%, control +0.08 point); trades >=control -2. At least 2 of 3 non-center enabled neighbors retain 98% of both eras, improve net >=1.5%, CAGR >=control +0.02 point, retain 98% efficiency, meet the same DD ceiling, and retain >=control -3 trades. No post-result rescue."
"5","mbp_buy225","2","lower_support","momentum_buy_payoff_discovery_model1","later_2019_2020","2019.01.01","2020.12.31","1","10000","true","2.25","2.00","0.15","0.45","0.15","0.75","mbp_buy225_later_2019_2020_m1","outputs\three_lane_momentum_buy_payoff_discovery_model1_package\configs\005_mbp_buy225_later_2019_2020_m1.ini","outputs\three_lane_momentum_buy_payoff_discovery_model1_package\configs\005_mbp_buy225_later_2019_2020_m1.ini","outputs\three_lane_momentum_buy_payoff_discovery_model1_package\reports_here\mbp_buy225_later_2019_2020_m1","7F730DB585F73B714B1CA08B849C003B9F46D85FC0DF2B143C061180DCE43F0B","F010B0D17EAA031C2BAA66111FA1B42376A7BA2F556480556B66A1A64335F56F","52A2C2942931518EB28A8CB1BF1DD72D9C4BF07E6AC18F3C577D4971153A3923","Frozen pre-2021 momentum-buy payoff discovery. Center positive and >=98% control in both eras; continuous net >=control +3%; CAGR >=control +0.05 point; PF/recovery/return-DD no worse than control; DD <=min(1.20%, control +0.08 point); trades >=control -2. At least 2 of 3 non-center enabled neighbors retain 98% of both eras, improve net >=1.5%, CAGR >=control +0.02 point, retain 98% efficiency, meet the same DD ceiling, and retain >=control -3 trades. No post-result rescue."
"6","mbp_buy225","2","lower_support","momentum_buy_payoff_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","true","2.25","2.00","0.15","0.45","0.15","0.75","mbp_buy225_continuous_2015_2020_m1","outputs\three_lane_momentum_buy_payoff_discovery_model1_package\configs\006_mbp_buy225_continuous_2015_2020_m1.ini","outputs\three_lane_momentum_buy_payoff_discovery_model1_package\configs\006_mbp_buy225_continuous_2015_2020_m1.ini","outputs\three_lane_momentum_buy_payoff_discovery_model1_package\reports_here\mbp_buy225_continuous_2015_2020_m1","70BBD15267281C38A551E1C86BC62A2ADB36F3B69DBE698ED30935827CBFA994","F010B0D17EAA031C2BAA66111FA1B42376A7BA2F556480556B66A1A64335F56F","52A2C2942931518EB28A8CB1BF1DD72D9C4BF07E6AC18F3C577D4971153A3923","Frozen pre-2021 momentum-buy payoff discovery. Center positive and >=98% control in both eras; continuous net >=control +3%; CAGR >=control +0.05 point; PF/recovery/return-DD no worse than control; DD <=min(1.20%, control +0.08 point); trades >=control -2. At least 2 of 3 non-center enabled neighbors retain 98% of both eras, improve net >=1.5%, CAGR >=control +0.02 point, retain 98% efficiency, meet the same DD ceiling, and retain >=control -3 trades. No post-result rescue."
"7","mbp_center_buy250","3","center","momentum_buy_payoff_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","true","2.50","2.00","0.15","0.45","0.15","0.75","mbp_center_buy250_older_2015_2018_m1","outputs\three_lane_momentum_buy_payoff_discovery_model1_package\configs\007_mbp_center_buy250_older_2015_2018_m1.ini","outputs\three_lane_momentum_buy_payoff_discovery_model1_package\configs\007_mbp_center_buy250_older_2015_2018_m1.ini","outputs\three_lane_momentum_buy_payoff_discovery_model1_package\reports_here\mbp_center_buy250_older_2015_2018_m1","87FE0C80695D3B792515EBB2C5100C55B0F3E4381812A5AEBFAC2C0FAED352D8","1161D9BC89CF2335848358AF8E4F122DFCE1BE65690F4513AE204B2D596274B0","52A2C2942931518EB28A8CB1BF1DD72D9C4BF07E6AC18F3C577D4971153A3923","Frozen pre-2021 momentum-buy payoff discovery. Center positive and >=98% control in both eras; continuous net >=control +3%; CAGR >=control +0.05 point; PF/recovery/return-DD no worse than control; DD <=min(1.20%, control +0.08 point); trades >=control -2. At least 2 of 3 non-center enabled neighbors retain 98% of both eras, improve net >=1.5%, CAGR >=control +0.02 point, retain 98% efficiency, meet the same DD ceiling, and retain >=control -3 trades. No post-result rescue."
"8","mbp_center_buy250","3","center","momentum_buy_payoff_discovery_model1","later_2019_2020","2019.01.01","2020.12.31","1","10000","true","2.50","2.00","0.15","0.45","0.15","0.75","mbp_center_buy250_later_2019_2020_m1","outputs\three_lane_momentum_buy_payoff_discovery_model1_package\configs\008_mbp_center_buy250_later_2019_2020_m1.ini","outputs\three_lane_momentum_buy_payoff_discovery_model1_package\configs\008_mbp_center_buy250_later_2019_2020_m1.ini","outputs\three_lane_momentum_buy_payoff_discovery_model1_package\reports_here\mbp_center_buy250_later_2019_2020_m1","A5C5C18F5F2EB6E0AEA76002629F3FAA141667B8BB56656BE5EEB8250F9AAEB0","1161D9BC89CF2335848358AF8E4F122DFCE1BE65690F4513AE204B2D596274B0","52A2C2942931518EB28A8CB1BF1DD72D9C4BF07E6AC18F3C577D4971153A3923","Frozen pre-2021 momentum-buy payoff discovery. Center positive and >=98% control in both eras; continuous net >=control +3%; CAGR >=control +0.05 point; PF/recovery/return-DD no worse than control; DD <=min(1.20%, control +0.08 point); trades >=control -2. At least 2 of 3 non-center enabled neighbors retain 98% of both eras, improve net >=1.5%, CAGR >=control +0.02 point, retain 98% efficiency, meet the same DD ceiling, and retain >=control -3 trades. No post-result rescue."
"9","mbp_center_buy250","3","center","momentum_buy_payoff_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","true","2.50","2.00","0.15","0.45","0.15","0.75","mbp_center_buy250_continuous_2015_2020_m1","outputs\three_lane_momentum_buy_payoff_discovery_model1_package\configs\009_mbp_center_buy250_continuous_2015_2020_m1.ini","outputs\three_lane_momentum_buy_payoff_discovery_model1_package\configs\009_mbp_center_buy250_continuous_2015_2020_m1.ini","outputs\three_lane_momentum_buy_payoff_discovery_model1_package\reports_here\mbp_center_buy250_continuous_2015_2020_m1","4B15B8AD780F5133857B98EA59C0AFB6F253AE70C590DE3786634B9C3D5B520C","1161D9BC89CF2335848358AF8E4F122DFCE1BE65690F4513AE204B2D596274B0","52A2C2942931518EB28A8CB1BF1DD72D9C4BF07E6AC18F3C577D4971153A3923","Frozen pre-2021 momentum-buy payoff discovery. Center positive and >=98% control in both eras; continuous net >=control +3%; CAGR >=control +0.05 point; PF/recovery/return-DD no worse than control; DD <=min(1.20%, control +0.08 point); trades >=control -2. At least 2 of 3 non-center enabled neighbors retain 98% of both eras, improve net >=1.5%, CAGR >=control +0.02 point, retain 98% efficiency, meet the same DD ceiling, and retain >=control -3 trades. No post-result rescue."
"10","mbp_buy275","4","upper_support","momentum_buy_payoff_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","true","2.75","2.00","0.15","0.45","0.15","0.75","mbp_buy275_older_2015_2018_m1","outputs\three_lane_momentum_buy_payoff_discovery_model1_package\configs\010_mbp_buy275_older_2015_2018_m1.ini","outputs\three_lane_momentum_buy_payoff_discovery_model1_package\configs\010_mbp_buy275_older_2015_2018_m1.ini","outputs\three_lane_momentum_buy_payoff_discovery_model1_package\reports_here\mbp_buy275_older_2015_2018_m1","2BC12DC72B5F66210492CFE741C68D503CC71D4B091B9495AE7FB6059C1AA379","D282808D13C4A64178F470CCA4FD8B88B285E4555AD1BD85114E0D0CEC01841B","52A2C2942931518EB28A8CB1BF1DD72D9C4BF07E6AC18F3C577D4971153A3923","Frozen pre-2021 momentum-buy payoff discovery. Center positive and >=98% control in both eras; continuous net >=control +3%; CAGR >=control +0.05 point; PF/recovery/return-DD no worse than control; DD <=min(1.20%, control +0.08 point); trades >=control -2. At least 2 of 3 non-center enabled neighbors retain 98% of both eras, improve net >=1.5%, CAGR >=control +0.02 point, retain 98% efficiency, meet the same DD ceiling, and retain >=control -3 trades. No post-result rescue."
