"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","SourceSha256","London","NewYork","ADXFilter","MinimumBodyPercent","VolumeFilter","StopRule"
"1","orb_london_adx18","1","independent_orb","1","discovery_model1","orb_london_adx18.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\001_orb_london_adx18_older_2015_2018_m1.ini","orb_london_adx18_older_2015_2018_m1","profiles\orb_london_adx18.set","F3EC5E83FE0C32F6EDDD5EDA827856B49C884D5731308E28F1597B339A96A6AF","EF81808036448D5969BC3C16E12F0304EBBE0220D8DC02A751B2AE446AC029EF","true","false","true","45.0","false","Discovery only: require both disjoint eras positive, PF at least 1.20, continuous trades at least 30, DD at or below 5%, and a neighboring profitable shape before opening the 2021-2026 holdout."
"2","orb_london_adx18","1","independent_orb","1","discovery_model1","orb_london_adx18.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\002_orb_london_adx18_discovery_2019_2020_m1.ini","orb_london_adx18_discovery_2019_2020_m1","profiles\orb_london_adx18.set","F3EC5E83FE0C32F6EDDD5EDA827856B49C884D5731308E28F1597B339A96A6AF","EF81808036448D5969BC3C16E12F0304EBBE0220D8DC02A751B2AE446AC029EF","true","false","true","45.0","false","Discovery only: require both disjoint eras positive, PF at least 1.20, continuous trades at least 30, DD at or below 5%, and a neighboring profitable shape before opening the 2021-2026 holdout."
"3","orb_london_adx18","1","independent_orb","1","discovery_model1","orb_london_adx18.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\003_orb_london_adx18_continuous_2015_2020_m1.ini","orb_london_adx18_continuous_2015_2020_m1","profiles\orb_london_adx18.set","F3EC5E83FE0C32F6EDDD5EDA827856B49C884D5731308E28F1597B339A96A6AF","EF81808036448D5969BC3C16E12F0304EBBE0220D8DC02A751B2AE446AC029EF","true","false","true","45.0","false","Discovery only: require both disjoint eras positive, PF at least 1.20, continuous trades at least 30, DD at or below 5%, and a neighboring profitable shape before opening the 2021-2026 holdout."
"4","orb_london_noadx","2","independent_orb","1","discovery_model1","orb_london_noadx.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\004_orb_london_noadx_older_2015_2018_m1.ini","orb_london_noadx_older_2015_2018_m1","profiles\orb_london_noadx.set","9C0301C4AE0E5ED432D5B83ADAA317055C0A908844A104D6E5927077273FC7F1","EF81808036448D5969BC3C16E12F0304EBBE0220D8DC02A751B2AE446AC029EF","true","false","false","45.0","false","Discovery only: require both disjoint eras positive, PF at least 1.20, continuous trades at least 30, DD at or below 5%, and a neighboring profitable shape before opening the 2021-2026 holdout."
"5","orb_london_noadx","2","independent_orb","1","discovery_model1","orb_london_noadx.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\005_orb_london_noadx_discovery_2019_2020_m1.ini","orb_london_noadx_discovery_2019_2020_m1","profiles\orb_london_noadx.set","9C0301C4AE0E5ED432D5B83ADAA317055C0A908844A104D6E5927077273FC7F1","EF81808036448D5969BC3C16E12F0304EBBE0220D8DC02A751B2AE446AC029EF","true","false","false","45.0","false","Discovery only: require both disjoint eras positive, PF at least 1.20, continuous trades at least 30, DD at or below 5%, and a neighboring profitable shape before opening the 2021-2026 holdout."
"6","orb_london_noadx","2","independent_orb","1","discovery_model1","orb_london_noadx.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\006_orb_london_noadx_continuous_2015_2020_m1.ini","orb_london_noadx_continuous_2015_2020_m1","profiles\orb_london_noadx.set","9C0301C4AE0E5ED432D5B83ADAA317055C0A908844A104D6E5927077273FC7F1","EF81808036448D5969BC3C16E12F0304EBBE0220D8DC02A751B2AE446AC029EF","true","false","false","45.0","false","Discovery only: require both disjoint eras positive, PF at least 1.20, continuous trades at least 30, DD at or below 5%, and a neighboring profitable shape before opening the 2021-2026 holdout."
"7","orb_london_adx18_body35","3","independent_orb","1","discovery_model1","orb_london_adx18_body35.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\007_orb_london_adx18_body35_older_2015_2018_m1.ini","orb_london_adx18_body35_older_2015_2018_m1","profiles\orb_london_adx18_body35.set","B3805BCA6E605B234725BEF29C2668F4A9E2D8E50D3532896E6E9E3A76992180","EF81808036448D5969BC3C16E12F0304EBBE0220D8DC02A751B2AE446AC029EF","true","false","true","35.0","false","Discovery only: require both disjoint eras positive, PF at least 1.20, continuous trades at least 30, DD at or below 5%, and a neighboring profitable shape before opening the 2021-2026 holdout."
"8","orb_london_adx18_body35","3","independent_orb","1","discovery_model1","orb_london_adx18_body35.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\008_orb_london_adx18_body35_discovery_2019_2020_m1.ini","orb_london_adx18_body35_discovery_2019_2020_m1","profiles\orb_london_adx18_body35.set","B3805BCA6E605B234725BEF29C2668F4A9E2D8E50D3532896E6E9E3A76992180","EF81808036448D5969BC3C16E12F0304EBBE0220D8DC02A751B2AE446AC029EF","true","false","true","35.0","false","Discovery only: require both disjoint eras positive, PF at least 1.20, continuous trades at least 30, DD at or below 5%, and a neighboring profitable shape before opening the 2021-2026 holdout."
"9","orb_london_adx18_body35","3","independent_orb","1","discovery_model1","orb_london_adx18_body35.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\009_orb_london_adx18_body35_continuous_2015_2020_m1.ini","orb_london_adx18_body35_continuous_2015_2020_m1","profiles\orb_london_adx18_body35.set","B3805BCA6E605B234725BEF29C2668F4A9E2D8E50D3532896E6E9E3A76992180","EF81808036448D5969BC3C16E12F0304EBBE0220D8DC02A751B2AE446AC029EF","true","false","true","35.0","false","Discovery only: require both disjoint eras positive, PF at least 1.20, continuous trades at least 30, DD at or below 5%, and a neighboring profitable shape before opening the 2021-2026 holdout."
"10","orb_newyork_adx18","4","independent_orb","1","discovery_model1","orb_newyork_adx18.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\010_orb_newyork_adx18_older_2015_2018_m1.ini","orb_newyork_adx18_older_2015_2018_m1","profiles\orb_newyork_adx18.set","F8592F22D5AE644403E97105DA464DBA0B89924392851442F2CE2D2C3A58F5AD","EF81808036448D5969BC3C16E12F0304EBBE0220D8DC02A751B2AE446AC029EF","false","true","true","45.0","false","Discovery only: require both disjoint eras positive, PF at least 1.20, continuous trades at least 30, DD at or below 5%, and a neighboring profitable shape before opening the 2021-2026 holdout."
