"Rank","Priority","Profile","Phase","Set","Window","From","To","Status","NetProfit","Balance","LogTimestamp","RunnerStatus","Evidence"
"1","","no_m1shock","full","full","continuous_2024_2026","2024.01.01","2026.07.12","PARSED_FROM_LOG","1288.93","2288.93","2026-07-12T13:14:09","NO_REPORT","Tester finished but no report file was found for realtick_profile_showdown_no_m1shock_continuous_2024_2026."
"2","","no_m1shock","train","train","full2024","2024.01.01","2024.12.31","PARSED_FROM_LOG","1425.73","2425.73","2026-07-12T13:14:36","NO_REPORT","Tester finished but no report file was found for realtick_profile_showdown_no_m1shock_full2024."
"3","","no_m1shock","oos","oos","full2025","2025.01.01","2025.12.31","PARSED_FROM_LOG","214.3","1214.3","2026-07-12T13:15:02","NO_REPORT","Tester finished but no report file was found for realtick_profile_showdown_no_m1shock_full2025."
"4","","no_m1shock","recent","recent","ytd2026","2026.01.01","2026.07.12","PARSED_FROM_LOG","955.21","1955.21","2026-07-12T13:15:50","NO_REPORT","Tester finished but no report file was found for realtick_profile_showdown_no_m1shock_ytd2026."
"5","","no_m1shock","weak","weak","q4_2024","2024.10.01","2024.12.31","PARSED_FROM_LOG","-4.55","995.45","2026-07-12T13:16:04","NO_REPORT","Tester finished but no report file was found for realtick_profile_showdown_no_m1shock_q4_2024."
"6","","no_m1shock","weak","weak","q4_2025","2025.10.01","2025.12.31","PARSED_FROM_LOG","196","1196","2026-07-12T13:16:21","NO_REPORT","Tester finished but no report file was found for realtick_profile_showdown_no_m1shock_q4_2025."
"7","","may235","full","full","continuous_2024_2026","2024.01.01","2026.07.12","PARSED_FROM_LOG","1277.57","2277.57","2026-07-12T13:17:41","NO_REPORT","Tester finished but no report file was found for realtick_profile_showdown_may235_continuous_2024_2026."
"8","","may235","train","train","full2024","2024.01.01","2024.12.31","PARSED_FROM_LOG","1277.57","2277.57","2026-07-12T13:18:09","NO_REPORT","Tester finished but no report file was found for realtick_profile_showdown_may235_full2024."
"9","","may235","oos","oos","full2025","2025.01.01","2025.12.31","PARSED_FROM_LOG","214.3","1214.3","2026-07-12T13:18:35","NO_REPORT","Tester finished but no report file was found for realtick_profile_showdown_may235_full2025."
"10","","may235","recent","recent","ytd2026","2026.01.01","2026.07.12","PARSED_FROM_LOG","893.69","1893.69","2026-07-12T13:19:23","NO_REPORT","Tester finished but no report file was found for realtick_profile_showdown_may235_ytd2026."
"11","","may235","weak","weak","q4_2024","2024.10.01","2024.12.31","PARSED_FROM_LOG","0","1000","2026-07-12T13:19:37","NO_REPORT","Tester finished but no report file was found for realtick_profile_showdown_may235_q4_2024."
