"Candidate","Window","NetProfit","AnnualizedReturnPercent","CagrPercent","ProfitFactor","MaxDrawdownPercent","RecoveryFactor","TotalTrades","Decision","Reason"
"lowatr_exit_mfe_early","continuous_2024_2026","9274.07","366.99","151.40","2.9140","25.99","2.5701","64","REJECT_TRADE_READY_FAST_SCREEN","Higher headline profit than raw LowATR, but drawdown remains far above the 6% first-pass cap."
"lowatr_exit_loss_scale","continuous_2024_2026","8998.14","356.07","148.71","2.9164","25.91","2.5738","65","REJECT_TRADE_READY_FAST_SCREEN","Profit is high, but drawdown remains far above the 6% first-pass cap."
"lowatr_exit_peak_guard","continuous_2024_2026","3412.46","135.04","79.93","4.8249","22.63","4.1557","25","REJECT_TRADE_READY_FAST_SCREEN","Best risk-normalized high-profit exit tweak, but drawdown remains too high."
"lowatr_exit_peak_r50","continuous_2024_2026","1152.51","45.61","35.44","4.5478","14.53","3.1507","7","REJECT_TRADE_READY_FAST_SCREEN","Good profit factor but drawdown is too high and trade count is sparse."
"lowatr_exit_peak_r30","continuous_2024_2026","630.58","24.95","21.35","5.5464","8.74","4.0375","7","REJECT_TRADE_READY_FAST_SCREEN","Improved risk profile, but drawdown remains above 6% and trade count is sparse."
"lowatr_exit_peak_r25","continuous_2024_2026","517.03","20.46","17.93","5.8846","7.28","4.3379","7","REJECT_TRADE_READY_FAST_SCREEN","Near the cap, but drawdown remains above 6% and trade count is sparse."
"lowatr_exit_peak_r20","continuous_2024_2026","464.86","18.40","16.31","6.7890","5.81","5.1411","7","ADVANCED_THEN_REJECTED","Only under-6% continuous candidate, but yearly split quality rejected it."
"lowatr_exit_peak_r20","2024_full","464.86","46.52","46.52","6.7890","5.81","5.1411","7","PASS_CONTEXT","Green yearly split."
"lowatr_exit_peak_r20","2025_full","21.17","2.12","2.12","1.6271","4.90","0.4178","4","FAIL","Weak recovery and too few trades."
"lowatr_exit_peak_r20","2026_ytd","192.28","36.58","39.73","5.4284","4.88","3.3135","14","PASS_CONTEXT","Green recent split."
