"Area","Status","Actual","Required","Evidence","NextAction"
"candidate","PASS","profileHash=F708C68A68016C13C4ADAECFE472A270748F4DAD9F2DF8C12F9870C2324DA13F; sourceHash=FF1BCDB06E5D628F37039B7A2E6D96CE0EC60E2F0D33F2A1F8E3FF2EE4130394","Strict conservative trade-ready profile exists and hashes are captured","outputs\CANDIDATE_TRADE_READY_CONSERVATIVE_PROFILE.set","Generate the conservative profile before evaluating readiness."
"real-account-lock","PASS","allowReal=false; approvalCode=DISABLED; approvalProfile=DISABLED; approvalSource=DISABLED","Real-account trading disabled until separate explicit approval identity is created","outputs\CANDIDATE_TRADE_READY_CONSERVATIVE_PROFILE.set","Keep disabled while validation and forward evidence are pending."
"risk-shape","PASS","risk=0.10; openRisk=0.20; lots=0.01; dailyLoss=0.20; weeklyLoss=0.60; monthlyLoss=1.25; equityDD=3.00","0.10% risk, 0.20% open risk, 0.01 lots, 0.20/0.60/1.25% loss caps, 3.00% equity DD cap","outputs\CANDIDATE_TRADE_READY_CONSERVATIVE_PROFILE.set","Do not loosen these caps before proof gates pass."
"local-pc-safety","PASS","rows=44; failures=0","MT5/GitHub/local-launch safety audit has zero failures","outputs\MT5_LOCAL_SAFETY_AUDIT.csv","Fix local safety audit before running tester work."
"guardrail-audit","PENDING","pass=110; open=5; fail=0","Profile audit has 0 FAIL and 0 OPEN proof gaps","outputs\TRADE_READY_CONSERVATIVE_AUDIT.csv","Close open proof gaps; do not promote while any remain."
"model4-validation","PENDING","pass=3; pending=25; fail=0","All validation, stress, and broker-proxy result gates pass","outputs\TRADE_READY_CONSERVATIVE_VALIDATION_DECISION.csv","Return MT5 reports and rerun the importer/decision gate."
"quality:exact-continuous-return-floor","PENDING","continuousReturnPct=; continuousNet=","continuous return >= 1% on starting balance 1000","outputs\TRADE_READY_CONSERVATIVE_VALIDATION_DECISION.csv","This quality gate must pass before live approval review."
"quality:exact-continuous-return-drawdown-efficiency","PENDING","returnToDD=; returnPct=; ddPct=","continuous return % / equity DD % >= 1","outputs\TRADE_READY_CONSERVATIVE_VALIDATION_DECISION.csv","This quality gate must pass before live approval review."
"quality:profit-factor-floor","PENDING","minPF=; samples=0","min nonzero PF >= 1.2","outputs\TRADE_READY_CONSERVATIVE_VALIDATION_DECISION.csv","This quality gate must pass before live approval review."
"quality:recovery-factor-floor","PENDING","minRecovery=; samples=0","min recovery >= 1 on active rows","outputs\TRADE_READY_CONSERVATIVE_VALIDATION_DECISION.csv","This quality gate must pass before live approval review."
"quality:drawdown-within-cap","PENDING","worstDD=","max equity DD <= 3%","outputs\TRADE_READY_CONSERVATIVE_VALIDATION_DECISION.csv","This quality gate must pass before live approval review."
"money-ready-efficiency-audit","PENDING","rows=17; pass=0; pending=17; fail=0","Efficiency audit has 0 FAIL and 0 PENDING gates; broad evidence must clear growth, return/drawdown, drawdown, no-red-window, PF, recovery, recent-data, and broker/stress targets","outputs\MONEY_READY_EFFICIENCY_AUDIT.csv","Return full exported MT5 reports and require the bot to be profitable enough for the risk before live approval review."
