TestWindow,CollisionAdjustedNet,CollisionAdjustedProfitFactor,AcceptedTrades,BlockedTrades,BlockedOpportunityNet,PositiveWindow
2015,139.40,2.3667,18,4,48.86,True
2016,214.49,2.0952,36,0,0.00,True
2017,144.93,1.4342,46,0,0.00,True
2018,188.69,1.8094,47,3,95.75,True
2019,40.53,1.2384,33,1,4.88,True
2020,143.14,1.6950,27,0,0.00,True
2021,413.63,2.6294,33,0,0.00,True
2022,53.53,1.1824,44,0,0.00,True
2023,232.63,1.9552,42,0,0.00,True
2024,220.93,1.8349,34,0,0.00,True
2025,66.56,5.1941,6,0,0.00,True
2026_ytd,209.18,INF,2,0,0.00,True
