"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","SourceSha256","EntryLookback","ExitLookback","TrailLookback","TrailATR","StopRule"
"1","h4ct_trail_40_20_l20_a25","1","independent_h4_channel_trend","1","trail_discovery_model1","h4ct_trail_40_20_l20_a25.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\001_h4ct_trail_40_20_l20_a25_older_2015_2018_m1.ini","h4ct_trail_40_20_l20_a25_older_2015_2018_m1","profiles\h4ct_trail_40_20_l20_a25.set","803C119FC11B522515D2CBD7D8EA4339F7DA9FC23B0316556A890FA076C0D289","C27025A3605EEBBA54C5B88D564CE641D00634E2C42C8BAC6D127751ABF58F4A","40","20","20","2.50","Discovery-only Chandelier neighborhood: require both eras positive, continuous PF at least 1.30, at least 60 trades, DD at or below 3%, and at least three adjacent profitable shapes before opening 2021-2026."
"2","h4ct_trail_40_20_l20_a25","1","independent_h4_channel_trend","1","trail_discovery_model1","h4ct_trail_40_20_l20_a25.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\002_h4ct_trail_40_20_l20_a25_discovery_2019_2020_m1.ini","h4ct_trail_40_20_l20_a25_discovery_2019_2020_m1","profiles\h4ct_trail_40_20_l20_a25.set","803C119FC11B522515D2CBD7D8EA4339F7DA9FC23B0316556A890FA076C0D289","C27025A3605EEBBA54C5B88D564CE641D00634E2C42C8BAC6D127751ABF58F4A","40","20","20","2.50","Discovery-only Chandelier neighborhood: require both eras positive, continuous PF at least 1.30, at least 60 trades, DD at or below 3%, and at least three adjacent profitable shapes before opening 2021-2026."
"3","h4ct_trail_40_20_l20_a25","1","independent_h4_channel_trend","1","trail_discovery_model1","h4ct_trail_40_20_l20_a25.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\003_h4ct_trail_40_20_l20_a25_continuous_2015_2020_m1.ini","h4ct_trail_40_20_l20_a25_continuous_2015_2020_m1","profiles\h4ct_trail_40_20_l20_a25.set","803C119FC11B522515D2CBD7D8EA4339F7DA9FC23B0316556A890FA076C0D289","C27025A3605EEBBA54C5B88D564CE641D00634E2C42C8BAC6D127751ABF58F4A","40","20","20","2.50","Discovery-only Chandelier neighborhood: require both eras positive, continuous PF at least 1.30, at least 60 trades, DD at or below 3%, and at least three adjacent profitable shapes before opening 2021-2026."
"4","h4ct_trail_40_20_l20_a30","2","independent_h4_channel_trend","1","trail_discovery_model1","h4ct_trail_40_20_l20_a30.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\004_h4ct_trail_40_20_l20_a30_older_2015_2018_m1.ini","h4ct_trail_40_20_l20_a30_older_2015_2018_m1","profiles\h4ct_trail_40_20_l20_a30.set","90E0A2A46977C04013842EECE158915AB7F47C771B238E1D75304502B68852E5","C27025A3605EEBBA54C5B88D564CE641D00634E2C42C8BAC6D127751ABF58F4A","40","20","20","3.00","Discovery-only Chandelier neighborhood: require both eras positive, continuous PF at least 1.30, at least 60 trades, DD at or below 3%, and at least three adjacent profitable shapes before opening 2021-2026."
"5","h4ct_trail_40_20_l20_a30","2","independent_h4_channel_trend","1","trail_discovery_model1","h4ct_trail_40_20_l20_a30.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\005_h4ct_trail_40_20_l20_a30_discovery_2019_2020_m1.ini","h4ct_trail_40_20_l20_a30_discovery_2019_2020_m1","profiles\h4ct_trail_40_20_l20_a30.set","90E0A2A46977C04013842EECE158915AB7F47C771B238E1D75304502B68852E5","C27025A3605EEBBA54C5B88D564CE641D00634E2C42C8BAC6D127751ABF58F4A","40","20","20","3.00","Discovery-only Chandelier neighborhood: require both eras positive, continuous PF at least 1.30, at least 60 trades, DD at or below 3%, and at least three adjacent profitable shapes before opening 2021-2026."
"6","h4ct_trail_40_20_l20_a30","2","independent_h4_channel_trend","1","trail_discovery_model1","h4ct_trail_40_20_l20_a30.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\006_h4ct_trail_40_20_l20_a30_continuous_2015_2020_m1.ini","h4ct_trail_40_20_l20_a30_continuous_2015_2020_m1","profiles\h4ct_trail_40_20_l20_a30.set","90E0A2A46977C04013842EECE158915AB7F47C771B238E1D75304502B68852E5","C27025A3605EEBBA54C5B88D564CE641D00634E2C42C8BAC6D127751ABF58F4A","40","20","20","3.00","Discovery-only Chandelier neighborhood: require both eras positive, continuous PF at least 1.30, at least 60 trades, DD at or below 3%, and at least three adjacent profitable shapes before opening 2021-2026."
"7","h4ct_trail_55_20_l10_a30","3","independent_h4_channel_trend","1","trail_discovery_model1","h4ct_trail_55_20_l10_a30.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\007_h4ct_trail_55_20_l10_a30_older_2015_2018_m1.ini","h4ct_trail_55_20_l10_a30_older_2015_2018_m1","profiles\h4ct_trail_55_20_l10_a30.set","E7EB3D3148FEC2CD76F48AD106818C4776432A8A9C2CD29F60341C998CCE66E2","C27025A3605EEBBA54C5B88D564CE641D00634E2C42C8BAC6D127751ABF58F4A","55","20","10","3.00","Discovery-only Chandelier neighborhood: require both eras positive, continuous PF at least 1.30, at least 60 trades, DD at or below 3%, and at least three adjacent profitable shapes before opening 2021-2026."
"8","h4ct_trail_55_20_l10_a30","3","independent_h4_channel_trend","1","trail_discovery_model1","h4ct_trail_55_20_l10_a30.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\008_h4ct_trail_55_20_l10_a30_discovery_2019_2020_m1.ini","h4ct_trail_55_20_l10_a30_discovery_2019_2020_m1","profiles\h4ct_trail_55_20_l10_a30.set","E7EB3D3148FEC2CD76F48AD106818C4776432A8A9C2CD29F60341C998CCE66E2","C27025A3605EEBBA54C5B88D564CE641D00634E2C42C8BAC6D127751ABF58F4A","55","20","10","3.00","Discovery-only Chandelier neighborhood: require both eras positive, continuous PF at least 1.30, at least 60 trades, DD at or below 3%, and at least three adjacent profitable shapes before opening 2021-2026."
"9","h4ct_trail_55_20_l10_a30","3","independent_h4_channel_trend","1","trail_discovery_model1","h4ct_trail_55_20_l10_a30.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\009_h4ct_trail_55_20_l10_a30_continuous_2015_2020_m1.ini","h4ct_trail_55_20_l10_a30_continuous_2015_2020_m1","profiles\h4ct_trail_55_20_l10_a30.set","E7EB3D3148FEC2CD76F48AD106818C4776432A8A9C2CD29F60341C998CCE66E2","C27025A3605EEBBA54C5B88D564CE641D00634E2C42C8BAC6D127751ABF58F4A","55","20","10","3.00","Discovery-only Chandelier neighborhood: require both eras positive, continuous PF at least 1.30, at least 60 trades, DD at or below 3%, and at least three adjacent profitable shapes before opening 2021-2026."
"10","h4ct_trail_55_20_l20_a25","4","independent_h4_channel_trend","1","trail_discovery_model1","h4ct_trail_55_20_l20_a25.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\010_h4ct_trail_55_20_l20_a25_older_2015_2018_m1.ini","h4ct_trail_55_20_l20_a25_older_2015_2018_m1","profiles\h4ct_trail_55_20_l20_a25.set","1D20DEF8CB4915CBEF74CDB5E99BE7B4709131DD01CD24ABC40BFEADEBE6F202","C27025A3605EEBBA54C5B88D564CE641D00634E2C42C8BAC6D127751ABF58F4A","55","20","20","2.50","Discovery-only Chandelier neighborhood: require both eras positive, continuous PF at least 1.30, at least 60 trades, DD at or below 3%, and at least three adjacent profitable shapes before opening 2021-2026."
