"Rank","Priority","Profile","Phase","Set","Window","From","To","Status","NetProfit","Balance","LogTimestamp","RunnerStatus","Evidence"
"1","","score7","full","model2","continuous_2024_2026","2024.01.01","2026.07.12","PARSED_FROM_LOG","9862.76","10862.76","2026-07-12T12:32:19","NO_REPORT","Tester finished but no report file was found for m2_score7_regime_confirm_score7_continuous_2024_2026."
"2","","score7","train","model2","full2024","2024.01.01","2024.12.31","PARSED_FROM_LOG","3082.89","4082.89","2026-07-12T12:32:31","NO_REPORT","Tester finished but no report file was found for m2_score7_regime_confirm_score7_full2024."
"3","","score7","oos","model2","full2025","2025.01.01","2025.12.31","PARSED_FROM_LOG","214.18","1214.18","2026-07-12T12:32:42","NO_REPORT","Tester finished but no report file was found for m2_score7_regime_confirm_score7_full2025."
"4","","score7","recent","model2","ytd2026","2026.01.01","2026.07.12","PARSED_FROM_LOG","1375.04","2375.04","2026-07-12T12:32:52","NO_REPORT","Tester finished but no report file was found for m2_score7_regime_confirm_score7_ytd2026."
"5","","score7","target","model2","q4_2025","2025.10.01","2025.12.31","PARSED_FROM_LOG","194.82","1194.82","2026-07-12T12:33:03","NO_REPORT","Tester finished but no report file was found for m2_score7_regime_confirm_score7_q4_2025."
"6","","score7","weak","model2","q4_2024","2024.10.01","2024.12.31","PARSED_FROM_LOG","161.23","1161.23","2026-07-12T12:33:13","NO_REPORT","Tester finished but no report file was found for m2_score7_regime_confirm_score7_q4_2024."
"7","","score7_regime","full","model2","continuous_2024_2026","2024.01.01","2026.07.12","NO_REPORT","","","","NO_REPORT","Tester finished but no report file was found for m2_score7_regime_confirm_score7_regime_continuous_2024_2026."
"8","","score7_regime","train","model2","full2024","2024.01.01","2024.12.31","NO_REPORT","","","","NO_REPORT","Tester finished but no report file was found for m2_score7_regime_confirm_score7_regime_full2024."
"9","","score7_regime","oos","model2","full2025","2025.01.01","2025.12.31","PARSED_FROM_LOG","214.18","1214.18","2026-07-12T12:33:46","NO_REPORT","Tester finished but no report file was found for m2_score7_regime_confirm_score7_regime_full2025."
"10","","score7_regime","recent","model2","ytd2026","2026.01.01","2026.07.12","PARSED_FROM_LOG","1375.04","2375.04","2026-07-12T12:33:56","NO_REPORT","Tester finished but no report file was found for m2_score7_regime_confirm_score7_regime_ytd2026."
"11","","score7_regime","target","model2","q4_2025","2025.10.01","2025.12.31","PARSED_FROM_LOG","194.82","1194.82","2026-07-12T12:34:07","NO_REPORT","Tester finished but no report file was found for m2_score7_regime_confirm_score7_regime_q4_2025."
"12","","score7_regime","weak","model2","q4_2024","2024.10.01","2024.12.31","NO_REPORT","","","","NO_REPORT","Tester finished but no report file was found for m2_score7_regime_confirm_score7_regime_q4_2024."
