"QueueRank","Rank","Candidate","Profile","Phase","Set","Window","From","To","Model","Deposit","PackageConfig","ExpectedReportName","ReportDestination","ProfileSha256","SourceSha256","RunLabel","StopRule"
"1","1","rsg_mo015_control","rsg_mo015_control","discovery_model1","reversion_shock_guard_portfolio","older_2015_2018","2015.01.01","2018.12.31","1","10000","outputs\reversion_shock_guard_portfolio_discovery_model1_package\configs\001_rsg_mo015_control_older_2015_2018_m1.ini","rsg_mo015_control_older_2015_2018_m1","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo015_control_older_2015_2018_m1","AF44DDFDBB8EBC0F7AB1BBD3DD0480C9C5AE621BFCFFBB1F27AC3B8F7A2C8F48","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"2","2","rsg_mo015_control","rsg_mo015_control","discovery_model1","reversion_shock_guard_portfolio","repair_2019","2019.01.01","2019.12.31","1","10000","outputs\reversion_shock_guard_portfolio_discovery_model1_package\configs\002_rsg_mo015_control_repair_2019_m1.ini","rsg_mo015_control_repair_2019_m1","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo015_control_repair_2019_m1","AF44DDFDBB8EBC0F7AB1BBD3DD0480C9C5AE621BFCFFBB1F27AC3B8F7A2C8F48","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"3","3","rsg_mo015_control","rsg_mo015_control","discovery_model1","reversion_shock_guard_portfolio","repair_2020","2020.01.01","2020.12.31","1","10000","outputs\reversion_shock_guard_portfolio_discovery_model1_package\configs\003_rsg_mo015_control_repair_2020_m1.ini","rsg_mo015_control_repair_2020_m1","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo015_control_repair_2020_m1","AF44DDFDBB8EBC0F7AB1BBD3DD0480C9C5AE621BFCFFBB1F27AC3B8F7A2C8F48","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"4","4","rsg_mo015_control","rsg_mo015_control","discovery_model1","reversion_shock_guard_portfolio","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","outputs\reversion_shock_guard_portfolio_discovery_model1_package\configs\004_rsg_mo015_control_continuous_2015_2020_m1.ini","rsg_mo015_control_continuous_2015_2020_m1","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo015_control_continuous_2015_2020_m1","AF44DDFDBB8EBC0F7AB1BBD3DD0480C9C5AE621BFCFFBB1F27AC3B8F7A2C8F48","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"5","5","rsg_mo015_di10","rsg_mo015_di10","discovery_model1","reversion_shock_guard_portfolio","older_2015_2018","2015.01.01","2018.12.31","1","10000","outputs\reversion_shock_guard_portfolio_discovery_model1_package\configs\005_rsg_mo015_di10_older_2015_2018_m1.ini","rsg_mo015_di10_older_2015_2018_m1","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo015_di10_older_2015_2018_m1","6BD332BF889936A29A23FA7AFDE6AE2F0BD03D9617EDF64DFF8924BE883D4DA1","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"6","6","rsg_mo015_di10","rsg_mo015_di10","discovery_model1","reversion_shock_guard_portfolio","repair_2019","2019.01.01","2019.12.31","1","10000","outputs\reversion_shock_guard_portfolio_discovery_model1_package\configs\006_rsg_mo015_di10_repair_2019_m1.ini","rsg_mo015_di10_repair_2019_m1","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo015_di10_repair_2019_m1","6BD332BF889936A29A23FA7AFDE6AE2F0BD03D9617EDF64DFF8924BE883D4DA1","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"7","7","rsg_mo015_di10","rsg_mo015_di10","discovery_model1","reversion_shock_guard_portfolio","repair_2020","2020.01.01","2020.12.31","1","10000","outputs\reversion_shock_guard_portfolio_discovery_model1_package\configs\007_rsg_mo015_di10_repair_2020_m1.ini","rsg_mo015_di10_repair_2020_m1","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo015_di10_repair_2020_m1","6BD332BF889936A29A23FA7AFDE6AE2F0BD03D9617EDF64DFF8924BE883D4DA1","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"8","8","rsg_mo015_di10","rsg_mo015_di10","discovery_model1","reversion_shock_guard_portfolio","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","outputs\reversion_shock_guard_portfolio_discovery_model1_package\configs\008_rsg_mo015_di10_continuous_2015_2020_m1.ini","rsg_mo015_di10_continuous_2015_2020_m1","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo015_di10_continuous_2015_2020_m1","6BD332BF889936A29A23FA7AFDE6AE2F0BD03D9617EDF64DFF8924BE883D4DA1","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"9","9","rsg_mo015_body25","rsg_mo015_body25","discovery_model1","reversion_shock_guard_portfolio","older_2015_2018","2015.01.01","2018.12.31","1","10000","outputs\reversion_shock_guard_portfolio_discovery_model1_package\configs\009_rsg_mo015_body25_older_2015_2018_m1.ini","rsg_mo015_body25_older_2015_2018_m1","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo015_body25_older_2015_2018_m1","EB11D96EF092447D502BCA2B12900DA399A46DC1A311FFDEC53D7DB45008467F","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"10","10","rsg_mo015_body25","rsg_mo015_body25","discovery_model1","reversion_shock_guard_portfolio","repair_2019","2019.01.01","2019.12.31","1","10000","outputs\reversion_shock_guard_portfolio_discovery_model1_package\configs\010_rsg_mo015_body25_repair_2019_m1.ini","rsg_mo015_body25_repair_2019_m1","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo015_body25_repair_2019_m1","EB11D96EF092447D502BCA2B12900DA399A46DC1A311FFDEC53D7DB45008467F","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
