"QueueRank","Candidate","CandidateRank","Role","Phase","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","SourceSha256","RunLabel","RVRiskPercent","MORiskPercent","RVMinimumDIEdge","RVUseMinimumBodyGate","RVMinimumBodyPercent","PortfolioOpenRiskPercent","StopRule"
"1","rsg_mo015_control","1","control","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\001_rsg_mo015_control_older_2015_2018_m1.ini","rsg_mo015_control_older_2015_2018_m1","profiles\rsg_mo015_control.set","AF44DDFDBB8EBC0F7AB1BBD3DD0480C9C5AE621BFCFFBB1F27AC3B8F7A2C8F48","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.15","-12.0","false","25.0","0.75","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"2","rsg_mo015_control","1","control","discovery_model1","repair_2019","2019.01.01","2019.12.31","1","10000","configs\002_rsg_mo015_control_repair_2019_m1.ini","rsg_mo015_control_repair_2019_m1","profiles\rsg_mo015_control.set","AF44DDFDBB8EBC0F7AB1BBD3DD0480C9C5AE621BFCFFBB1F27AC3B8F7A2C8F48","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.15","-12.0","false","25.0","0.75","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"3","rsg_mo015_control","1","control","discovery_model1","repair_2020","2020.01.01","2020.12.31","1","10000","configs\003_rsg_mo015_control_repair_2020_m1.ini","rsg_mo015_control_repair_2020_m1","profiles\rsg_mo015_control.set","AF44DDFDBB8EBC0F7AB1BBD3DD0480C9C5AE621BFCFFBB1F27AC3B8F7A2C8F48","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.15","-12.0","false","25.0","0.75","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"4","rsg_mo015_control","1","control","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\004_rsg_mo015_control_continuous_2015_2020_m1.ini","rsg_mo015_control_continuous_2015_2020_m1","profiles\rsg_mo015_control.set","AF44DDFDBB8EBC0F7AB1BBD3DD0480C9C5AE621BFCFFBB1F27AC3B8F7A2C8F48","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.15","-12.0","false","25.0","0.75","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"5","rsg_mo015_di10","2","di_only","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\005_rsg_mo015_di10_older_2015_2018_m1.ini","rsg_mo015_di10_older_2015_2018_m1","profiles\rsg_mo015_di10.set","6BD332BF889936A29A23FA7AFDE6AE2F0BD03D9617EDF64DFF8924BE883D4DA1","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.15","-10.0","false","25.0","0.75","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"6","rsg_mo015_di10","2","di_only","discovery_model1","repair_2019","2019.01.01","2019.12.31","1","10000","configs\006_rsg_mo015_di10_repair_2019_m1.ini","rsg_mo015_di10_repair_2019_m1","profiles\rsg_mo015_di10.set","6BD332BF889936A29A23FA7AFDE6AE2F0BD03D9617EDF64DFF8924BE883D4DA1","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.15","-10.0","false","25.0","0.75","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"7","rsg_mo015_di10","2","di_only","discovery_model1","repair_2020","2020.01.01","2020.12.31","1","10000","configs\007_rsg_mo015_di10_repair_2020_m1.ini","rsg_mo015_di10_repair_2020_m1","profiles\rsg_mo015_di10.set","6BD332BF889936A29A23FA7AFDE6AE2F0BD03D9617EDF64DFF8924BE883D4DA1","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.15","-10.0","false","25.0","0.75","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"8","rsg_mo015_di10","2","di_only","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\008_rsg_mo015_di10_continuous_2015_2020_m1.ini","rsg_mo015_di10_continuous_2015_2020_m1","profiles\rsg_mo015_di10.set","6BD332BF889936A29A23FA7AFDE6AE2F0BD03D9617EDF64DFF8924BE883D4DA1","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.15","-10.0","false","25.0","0.75","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"9","rsg_mo015_body25","3","body_only","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\009_rsg_mo015_body25_older_2015_2018_m1.ini","rsg_mo015_body25_older_2015_2018_m1","profiles\rsg_mo015_body25.set","EB11D96EF092447D502BCA2B12900DA399A46DC1A311FFDEC53D7DB45008467F","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.15","-12.0","true","25.0","0.75","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"10","rsg_mo015_body25","3","body_only","discovery_model1","repair_2019","2019.01.01","2019.12.31","1","10000","configs\010_rsg_mo015_body25_repair_2019_m1.ini","rsg_mo015_body25_repair_2019_m1","profiles\rsg_mo015_body25.set","EB11D96EF092447D502BCA2B12900DA399A46DC1A311FFDEC53D7DB45008467F","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.15","-12.0","true","25.0","0.75","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
