"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","SourceSha256","MomentumLookback","EntryLookback","TargetR","StopRule"
"1","mtsm_m63_e10_r200","1","independent_multiscale_momentum","1","discovery_model1","mtsm_m63_e10_r200.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\001_mtsm_m63_e10_r200_older_2015_2018_m1.ini","mtsm_m63_e10_r200_older_2015_2018_m1","profiles\mtsm_m63_e10_r200.set","A8E83C903F24EE4066D6A6BCCD3E1C788D4842C780593649C28F3057AEF5929C","92F7B079CD029E1A15F5BB8BA3BE53B1455B389AB39C77310DC98A4E4F593F69","63","10","2.00","Discovery only: require both disjoint eras profitable, continuous PF >= 1.20, at least 100 continuous trades, DD <= 5%, and at least two adjacent momentum/entry/target shapes passing before any 2021+ run."
"2","mtsm_m63_e10_r200","1","independent_multiscale_momentum","1","discovery_model1","mtsm_m63_e10_r200.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\002_mtsm_m63_e10_r200_discovery_2019_2020_m1.ini","mtsm_m63_e10_r200_discovery_2019_2020_m1","profiles\mtsm_m63_e10_r200.set","A8E83C903F24EE4066D6A6BCCD3E1C788D4842C780593649C28F3057AEF5929C","92F7B079CD029E1A15F5BB8BA3BE53B1455B389AB39C77310DC98A4E4F593F69","63","10","2.00","Discovery only: require both disjoint eras profitable, continuous PF >= 1.20, at least 100 continuous trades, DD <= 5%, and at least two adjacent momentum/entry/target shapes passing before any 2021+ run."
"3","mtsm_m63_e10_r200","1","independent_multiscale_momentum","1","discovery_model1","mtsm_m63_e10_r200.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\003_mtsm_m63_e10_r200_continuous_2015_2020_m1.ini","mtsm_m63_e10_r200_continuous_2015_2020_m1","profiles\mtsm_m63_e10_r200.set","A8E83C903F24EE4066D6A6BCCD3E1C788D4842C780593649C28F3057AEF5929C","92F7B079CD029E1A15F5BB8BA3BE53B1455B389AB39C77310DC98A4E4F593F69","63","10","2.00","Discovery only: require both disjoint eras profitable, continuous PF >= 1.20, at least 100 continuous trades, DD <= 5%, and at least two adjacent momentum/entry/target shapes passing before any 2021+ run."
"4","mtsm_m126_e10_r200","2","independent_multiscale_momentum","1","discovery_model1","mtsm_m126_e10_r200.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\004_mtsm_m126_e10_r200_older_2015_2018_m1.ini","mtsm_m126_e10_r200_older_2015_2018_m1","profiles\mtsm_m126_e10_r200.set","278B08BD964CF8DBCBD8AE2A21849DD7CCDAB2B39A4787B765D436A09EE3109F","92F7B079CD029E1A15F5BB8BA3BE53B1455B389AB39C77310DC98A4E4F593F69","126","10","2.00","Discovery only: require both disjoint eras profitable, continuous PF >= 1.20, at least 100 continuous trades, DD <= 5%, and at least two adjacent momentum/entry/target shapes passing before any 2021+ run."
"5","mtsm_m126_e10_r200","2","independent_multiscale_momentum","1","discovery_model1","mtsm_m126_e10_r200.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\005_mtsm_m126_e10_r200_discovery_2019_2020_m1.ini","mtsm_m126_e10_r200_discovery_2019_2020_m1","profiles\mtsm_m126_e10_r200.set","278B08BD964CF8DBCBD8AE2A21849DD7CCDAB2B39A4787B765D436A09EE3109F","92F7B079CD029E1A15F5BB8BA3BE53B1455B389AB39C77310DC98A4E4F593F69","126","10","2.00","Discovery only: require both disjoint eras profitable, continuous PF >= 1.20, at least 100 continuous trades, DD <= 5%, and at least two adjacent momentum/entry/target shapes passing before any 2021+ run."
"6","mtsm_m126_e10_r200","2","independent_multiscale_momentum","1","discovery_model1","mtsm_m126_e10_r200.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\006_mtsm_m126_e10_r200_continuous_2015_2020_m1.ini","mtsm_m126_e10_r200_continuous_2015_2020_m1","profiles\mtsm_m126_e10_r200.set","278B08BD964CF8DBCBD8AE2A21849DD7CCDAB2B39A4787B765D436A09EE3109F","92F7B079CD029E1A15F5BB8BA3BE53B1455B389AB39C77310DC98A4E4F593F69","126","10","2.00","Discovery only: require both disjoint eras profitable, continuous PF >= 1.20, at least 100 continuous trades, DD <= 5%, and at least two adjacent momentum/entry/target shapes passing before any 2021+ run."
"7","mtsm_m252_e10_r200","3","independent_multiscale_momentum","1","discovery_model1","mtsm_m252_e10_r200.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\007_mtsm_m252_e10_r200_older_2015_2018_m1.ini","mtsm_m252_e10_r200_older_2015_2018_m1","profiles\mtsm_m252_e10_r200.set","F8DC5B345F317AB0E212977658169B681BD6B766067BA60D73F6DF3A9A628994","92F7B079CD029E1A15F5BB8BA3BE53B1455B389AB39C77310DC98A4E4F593F69","252","10","2.00","Discovery only: require both disjoint eras profitable, continuous PF >= 1.20, at least 100 continuous trades, DD <= 5%, and at least two adjacent momentum/entry/target shapes passing before any 2021+ run."
"8","mtsm_m252_e10_r200","3","independent_multiscale_momentum","1","discovery_model1","mtsm_m252_e10_r200.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\008_mtsm_m252_e10_r200_discovery_2019_2020_m1.ini","mtsm_m252_e10_r200_discovery_2019_2020_m1","profiles\mtsm_m252_e10_r200.set","F8DC5B345F317AB0E212977658169B681BD6B766067BA60D73F6DF3A9A628994","92F7B079CD029E1A15F5BB8BA3BE53B1455B389AB39C77310DC98A4E4F593F69","252","10","2.00","Discovery only: require both disjoint eras profitable, continuous PF >= 1.20, at least 100 continuous trades, DD <= 5%, and at least two adjacent momentum/entry/target shapes passing before any 2021+ run."
"9","mtsm_m252_e10_r200","3","independent_multiscale_momentum","1","discovery_model1","mtsm_m252_e10_r200.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\009_mtsm_m252_e10_r200_continuous_2015_2020_m1.ini","mtsm_m252_e10_r200_continuous_2015_2020_m1","profiles\mtsm_m252_e10_r200.set","F8DC5B345F317AB0E212977658169B681BD6B766067BA60D73F6DF3A9A628994","92F7B079CD029E1A15F5BB8BA3BE53B1455B389AB39C77310DC98A4E4F593F69","252","10","2.00","Discovery only: require both disjoint eras profitable, continuous PF >= 1.20, at least 100 continuous trades, DD <= 5%, and at least two adjacent momentum/entry/target shapes passing before any 2021+ run."
"10","mtsm_m126_e6_r200","4","independent_multiscale_momentum","1","discovery_model1","mtsm_m126_e6_r200.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\010_mtsm_m126_e6_r200_older_2015_2018_m1.ini","mtsm_m126_e6_r200_older_2015_2018_m1","profiles\mtsm_m126_e6_r200.set","8D5F5899684A6F1BD5D4A7CF32DE3136C57DDECC7B32B77529244F0210755628","92F7B079CD029E1A15F5BB8BA3BE53B1455B389AB39C77310DC98A4E4F593F69","126","6","2.00","Discovery only: require both disjoint eras profitable, continuous PF >= 1.20, at least 100 continuous trades, DD <= 5%, and at least two adjacent momentum/entry/target shapes passing before any 2021+ run."
